UID,V1,V2,COMMENTS
ABMX,ng,,
ABNI,nd,,
ACBR,nd,,
ACTW,nd,,
ACXW,nd,,
AEPC,ng,,
AGAO,nd,,
AHQM,nd,,
AHQN,nd,,
AHSH,nd,,
AIEB,nd,,
AIKP,nd,,
AISI,nd,,
AJFE,nd,,
AKVO,nd,,
ALGD,nd,,
AMHY,nd,,
AMKV,nd,,
ANGR,nd,,
ANTS,nd,,
AOLG,nd,,
AOQC,nd,,
APFB,ng,,
APID,nd,,
AQZL,nd,,
ASHR,nd,,
AVMF,nd,,
AWLY,nd,,
AWMO,nd,,
AWQT,nd,,
AYBA,nd,,
AZPO,nd,,
BAVI,nd,,
BBCP,ng,,
BCMG,nd,,
BCUE,nd,,
BCVF,nd,,
BDAX,nd,,
BDGM,nd,,
BDJF,nd,,
BDNI,nd,,
BDOI,nd,,
BDUF,nd,,
BEKM,nd,,
BEVG,nd,,
BFHL,ng,,
BFKG,nn,,
BGTK,nd,,
BHBK,nd,,
BHGY,nd,,
BHXO,nd,,
BJAD,nd,,
BJUC,nd,,
BKKM,nd,,
BKNV,nd,,
BLBZ,nd,,
BLTF,nd,,
BLZL,ng,,
BNAJ,nd,,
BNBQ,nd,,
BNOH,nd,,
BNOO,nd,,
BOQG,ng,,
BOUD,nd,,
BPSH,nd,,
BRVM,nd,,
BRVU,nn,,
BRXK,nd,,
BRYH,nd,,
BSRI,nd,,
BTKD,nd,,
BUHM,nd,,
BVDH,nd,,
BVEO,ng,,
BWVF,ng,,
BXDO,nd,,
BYPQ,nn,,
BYRJ,nd,,
BYRX,nd,,
BZEA,nd,,
BZEP,nd,,
CALT,nd,,
CAVF,nd,,
CBFY,nd,,
CBHV,nd,,
CBVP,nd,,
CCBS,nd,,
CCGH,nd,,
CCJW,nn,,
CCOY,nd,,
CCWJ,NA,,NA; sitz
CDSL,ng,,
CEIX,nd,,
CFAB,nd,,
CGCE,ng,,
CGIB,nd,,
CGQA,nd,,
CICD,nd,,
CIID,nd,,
CJRU,nd,,
CLBF,nd,,
CLEJ,nd,,
CLER,ng,,
CLIB,nd,,
CLUZ,nd,,
CMSY,ng,,
CNCW,ng,,
COOG,ng,,
CQYU,nd,,
CRSL,nd,,
CRWO,nd,,
CTDF,nd,,
CWHJ,nd,,
CWJJ,nd,,
CXMM,nd,,
CXQZ,nd,,
CXSB,nd,,
CYGU,nd,,
CYKL,ng,,
CYSF,nd,,
CYWL,nd,,
CZER,nd,,
CZJB,nd,,
CZKB,nd,,
CZLH,nd,,
CZMV,ng,,
DEML,nd,,
DFOW,nd,,
DGMU,ng,,
DGSC,nd,,
DHAB,nd,,
DHAM,NA,,NA; wuff
DIYE,nd,,
DIZP,nd,,
DJLC,ng,,
DJVZ,nd,,
DKPP,nd,,
DKTE,nd,,
DMSW,nd,,
DMYY,nd,,
DNGG,nd,,
DNMP,nd,,
DNOS,nd,,
DNTL,nn,,
DNVV,nd,,
DOED,nd,,
DOYR,nd,,
DQIU,nd,,
DQYW,nd,,
DRXU,nd,,
DSIC,nd,,
DSLN,ng,,
DSMR,ng,,
DTAZ,nd,,
DTEM,nd,,
DTWK,nd,,
DTXP,nd,,
DUGA,nn,,
DYAK,nd,,
DYND,nd,,
DZTY,nd,,
EAVK,nd,,
EBCW,nd,,
ECVN,nd,,
EDLT,nd,,
EDTB,nd,,
EECM,nd,,
EEIN,nd,,
EFKS,nd,,
EFPC,ng,,
EGEH,nd,,
EGZW,nd,,
EJOM,nd,,
EJPH,ng,,
EJSR,nd,,
ELAJ,nd,,
ELJW,nd,,
EMDA,nd,,
EMZF,ng,,
ENGZ,nd,,
ENWC,nd,,
EPKE,nd,,
EPQP,nd,,
ESSD,nd,,
ESTD,nd,,
ETKD,nn,,
EUEH,nd,,
EUGJ,nd,,
EVCN,nd,,
EVFU,nd,,
EVJU,ng,,
EVQN,nd,,
EVVM,nd,,
EWCC,nd,,
EXRW,nd,,
EYLY,ng,,
EYWJ,nn,,
EYXR,nd,,
FAHE,ng,,
FALC,nd,,
FAPZ,nn,,
FBTV,nd,,
FBWY,nd,,
FCLR,nd,,
FEMF,nd,,
FFOD,nd,,
FFRL,nd,,
FGTI,ng,nn,
FHSY,nd,,
FIBD,nd,,
FIKU,nd,,
FJCF,ng,,
FJHI,nn,,
FJJI,nd,,
FJTV,nd,,
FLCV,nd,,
FLKN,nd,,
FMFX,ng,,
FMHR,nd,,
FMOO,nd,,
FNGR,nd,,
FNUF,nd,,
FNVT,nd,,
FONZ,nd,,
FOPS,nd,,
FPFX,nd,,
FPKO,ng,,
FPZN,nd,,
FQAF,nd,,
FQWL,nd,,
FQYS,nd,,
FRBT,nd,,
FRFQ,nd,,
FRWW,nd,,
FSTE,nn,,
FSUY,nd,,
FSWB,nd,,
FTDY,ng,,
FTFT,ng,,
FVIK,nn,,
FVIZ,nd,,
FVTU,ng,,
FWAG,nd,,
FWND,nd,,
FXCQ,nd,,
FXKN,ng,,
FYQI,nd,,
FZPW,nd,,
GAUD,nd,,
GAZV,nd,,
GBTH,ng,,
GDJE,nd,,
GFKH,nd,,
GFPM,nd,,
GFYZ,nd,,
GGLE,nd,,
GGSX,nd,,
GHGD,nd,,
GHLF,nd,,
GHMK,nd,,
GHXY,nd,,
GIIR,nd,,
GIOH,nd,,
GIQG,nd,,
GIWV,nd,,
GJCI,nn,,
GKBE,nd,,
GKBV,nd,,
GMMO,ng,,
GMWW,nd,,
GNBU,nd,,
GNMQ,nd,,
GOAU,nd,,
GOLW,nd,,
GOOB,nd,,
GOQI,nd,,
GOSY,nd,,
GOYC,nd,,
GPAK,nd,,
GPGA,nd,,
GRAR,nd,,
GRPJ,nd,,
GSLS,nd,,
GUTF,nd,,
GVNN,nd,,
GVUS,nd,,
GWOX,nd,,
GXEB,nd,,
GYBZ,nd,,
GYUD,nd,,
GZMD,nd,,
HBBQ,nd,,
HCIF,nd,,
HDLV,nd,,
HDNF,nd,,
HEHU,nd,,
HEVH,nd,,
HFCS,nd,,
HFSV,ng,,
HGBP,nd,,
HGYK,nd,,
HHHE,nd,,
HIGZ,nd,,
HKRF,nd,,
HLFM,nd,,
HMXR,ng,nd,
HPNB,nd,,
HPYW,nd,,
HQPB,nd,,
HUBI,ng,,
HUDO,nd,,
HUYI,ng,,
HVLO,nd,,
HWDZ,nd,,
HWOL,ng,,
HWTX,nd,,
HWYK,nd,,
HXHY,nd,,
HXVS,ng,,
HXZZ,nd,,
HZBG,ng,,
HZRN,nd,,
HZVF,nd,,
IATI,nd,,
IBYY,nd,,
IDFP,nd,,
IEEA,nd,,
IGCP,nd,,
IGVA,nd,,
IHIF,nd,,
IJMG,nd,,gem hund dim -> sie sage eig immer nur hindschi
IJQQ,nd,,
IKHY,nd,,
IKIA,nd,,
IKNR,nd,,
IMMC,nd,,
IMST,ng,,
INBX,nd,,
IOCC,ng,,
IOSV,nd,,
IPCB,nd,,
IPHH,ng,,
IPJN,nd,,
IPMA,nd,,
IPQX,nd,,
ISAE,ng,,
ISEJ,nd,,
ISGL,nd,,
IVZI,nd,,
IXKM,ng,,
IXXR,nd,,
IZNJ,nd,,
IZSQ,nd,,
JAGZ,nd,,
JASL,nd,,
JAXC,nd,,
JBIL,nd,,
JCQC,nd,,
JDKE,nd,,
JDOB,nd,,
JEAL,nd,,
JEAO,nd,,
JEUB,nd,,
JGLJ,ng,,
JGSK,nd,,
JICI,nd,,
JIME,nd,,
JIQI,nd,,
JIYA,nd,,
JKBX,nd,,
JKZM,nd,,
JLQZ,nd,,
JMOG,nd,,
JNDD,nd,,
JNLN,ng,,
JOFB,nd,,
JPQE,nd,,
JRME,nd,,
JSHF,nd,,
JTEM,nd,,
JTPS,nd,,
JTVH,nn,,
JUIK,nd,,
JURN,nn,,
JVJL,nd,,
JVOT,nd,,
JXAT,ng,,
JXGS,nd,,
JXIV,nd,,
KBMJ,nd,,
KCRZ,nd,,
KCUO,nd,,
KDEU,nd,,
KDRC,nd,,
KDYB,nd,,
KEDM,nd,,
KEOL,nd,,
KEOY,ng,,
KETC,nd,,
KEZZ,nd,,
KFFF,nd,,
KFQY,nd,,
KFTU,nd,,
KFYD,nd,,
KHMQ,nd,,
KHPQ,nd,,
KJEV,nd,,
KJNO,ng,,
KKHV,nd,,
KKTQ,nd,,
KLXL,nd,,
KMII,ng,,
KNCA,nd,,
KNPB,nd,,
KOOG,nd,,
KOQB,nd,,
KORE,nd,,
KPFH,nd,,
KPHL,nd,,
KQWD,nd,,
KRKJ,nd,,
KRMJ,nd,,
KRZH,nd,,
KSJX,nn,,
KUGY,nd,,
KUSC,nd,,
KVDO,nd,,
KVYN,nd,,
KXNF,nd,,
KYSI,nd,,
KZCC,ng,,
LAKO,nd,,
LAKP,nd,,
LAOE,nd,,
LAPG,nd,,
LAXN,nd,,
LBNN,nd,,
LBVW,nd,,
LBYC,nd,,
LCNW,nd,,
LCXS,nd,,
LDAP,nd,,
LDNK,nd,,
LDXH,nd,,
LEDK,nd,,
LEGF,ng,,
LEJJ,nd,,
LFFD,nd,,
LHAU,nd,,
LHHT,nd,,
LHTZ,nd,,
LIDX,nd,,
LIPR,nd,,
LJIP,nd,,
LLBP,nd,,
LLNV,ng,,
LMVO,nd,,
LOCO,ng,,
LOFY,nd,,
LOHZ,nn,,
LPNE,nd,,
LQUM,nd,,
LQVZ,nd,,
LRMP,nd,,
LSIS,nd,,
LTAQ,nd,,
LTSU,nd,,
LTSZ,nd,,
LVGN,ng,,
LVXL,nd,,
LWCO,nd,,
LYFW,nd,,
LZBT,nd,,
LZBW,nd,,
MAQI,nd,,
MAXS,nd,,
MBKO,nd,,
MBVT,nd,,
MCEZ,nd,,
MCJN,nd,,
MCMB,nn,,
MCQO,nd,,
MEFD,nd,,
MEWO,nd,,
MGNO,nd,,
MHUD,nd,,
MHXW,nd,,
MIDF,ng,,
MIEI,nd,,
MIIK,nd,,
MIXG,nd,,
MJKM,nd,,
MKDC,nd,,
MLPB,nd,,
MNJJ,ng,,
MOCP,nd,,
MOHG,nd,,
MPDX,nd,,
MQDQ,nd,,
MRDQ,nd,,
MSCO,ng,,
MSOH,nd,,
MWVG,nd,,
MXCL,nd,,
MXDT,nd,,
MXJS,nn,,
MYXS,nd,,
NDVI,nd,,
NDWO,nd,,
NDZV,nd,,
NEIS,nd,,
NFNF,ng,,
NGPR,nd,,
NHCM,nd,,
NIAP,ng,,
NIDZ,nd,,
NIHI,nd,,
NJTA,nd,,
NLQP,nd,,
NMCH,nd,,
NMUE,nd,,
NMZI,nd,,
NNHI,ng,,
NNPH,nd,,
NOMA,nd,,
NOQT,nd,,
NPFH,nd,,
NPQC,nd,,
NQPL,nd,,
NSBJ,nd,,
NUCN,nd,,
NUHA,nd,,
NUYJ,nd,,
NVYG,nd,,
NWFD,nn,,
NWTU,ng,,
NXDG,nd,,
NYTH,nd,,
NZQW,nd,,
OASX,nd,,
OBMP,nd,,
OCBC,nn,,
ODPT,nd,,
OEAH,nd,,
OEZX,nd,,
OFCF,nd,,
OFFV,ng,,
OFQQ,nd,,
OFXV,ng,,
OGPV,nd,,
OGQG,nd,,
OHPG,nd,,
OIDW,nd,,
OKGR,nd,,
OKOZ,ng,,
OKWW,nd,,
OLBL,nd,,
OLQM,nd,,
OOMM,nd,,
OPGH,nd,,
ORGN,nd,,
ORWP,nd,,
ORZF,ng,,
ORZO,nd,,
OSIL,nd,,
OTGL,nd,,
OTKB,nd,,
OUQD,nd,,
OUZE,nd,,
OWGL,nd,,
OWIM,nd,,
OYFQ,nd,,
OYUZ,nd,,
OYYZ,ng,,
OZSY,ng,,
PCJF,nd,,
PCMF,nd,,
PCNX,nd,,
PDLD,nn,,
PEAV,nd,,
PGMA,nd,,
PIVE,nd,,
PJCV,nd,,
PLSP,nd,,
PMBH,nd,,
PMLQ,nd,,
PQFD,nd,,
PRTT,nd,,
PTMF,ng,,
PWBS,nd,,
PWRG,nd,,
PXDH,nd,,
PXYB,nd,,
PYDG,nd,,
PYRT,nd,,
PZKU,nd,,
QAMI,nd,,
QBCZ,nd,,
QBYH,nd,,
QDBA,nd,,
QDCG,ng,,
QDGR,nd,,
QDGV,nd,,
QEOR,nd,,
QFCD,nd,,
QFPK,nd,,
QGPN,nd,,
QKEJ,nd,,
QKJG,nd,,
QKOW,nd,,
QKPX,nd,,
QMBF,nd,,
QMGE,nd,,
QMNB,nn,,
QNPX,nd,,
QNXD,nd,,
QOOD,nd,,
QOST,nd,,
QQKY,nd,,
QRRJ,nd,,
QSIC,nn,,
QVTY,nd,,
QVWW,nd,,
QVXX,nd,,
QVYB,ng,,
QVYF,nd,,
QWZT,nd,,
QXIH,nd,,
QYGT,nd,,
QZDY,nn,,
QZEX,nd,,
RAJQ,nd,,
RAKP,nd,,
RATN,nd,,
RBLS,nd,,
RBOG,nd,,
RCDF,ng,,
RCFR,nd,,
RCWY,nd,,
RDTE,nd,,
RGML,nd,,
RGSE,nd,,
RHJX,nd,,
RHWR,nd,,
RHYD,nd,,
RIOS,nd,,
RJVT,nd,,
RLFX,nd,,
RLZK,nd,,
RMKN,nd,,
RMNW,nd,,
RMYB,nd,,
RMZZ,nd,,
RNEW,ng,,
RNLY,nd,,
ROMW,nd,,
ROPY,nd,,
ROYT,nn,,
RQHU,nd,,
RQJR,nd,,
RRAU,ng,,
RRDW,nd,,
RRUY,nd,,
RRWK,nd,,
RSUK,nd,,
RVHZ,nd,,
RVPF,nd,,
RWZQ,nd,,
RXAO,nd,,
RXJS,nd,,
RXSC,nd,,
RYDG,nd,ng,
RZKH,nd,,
SATI,nd,,
SAUU,nd,,
SBMK,nd,,
SCON,nd,,
SCTT,nd,,
SDOI,ng,,
SDYX,nd,,
SDYY,nd,,
SFID,nd,,
SFSY,nd,,
SHDQ,nd,,
SHOU,nd,,
SIBL,nd,,
SION,nd,,
SJVF,nd,,
SKNK,nd,,
SLLT,nd,,
SNDV,nd,,
SOKG,nd,,
SOZJ,nd,,
SPBA,ng,,
SPCF,nd,,
SPYB,ng,,
SQAT,ng,,
SRJK,nd,,
SSQE,nn,,
SSZQ,nd,,
STGG,nd,,
STIG,nd,,
STWW,nd,,
SUKO,ng,,
SUPE,ng,,
SWXV,nd,,
SXAH,nd,,
SXHP,nd,,
SXMH,ng,,
SXOS,nd,,
SYIN,nd,,
SYWQ,nd,,
SYZH,nd,,
SZYP,nd,,
TASM,nn,,
TBJW,nd,,
TCBP,nd,,
TFBR,nd,,
TFRP,nd,,
TFUD,nd,,
TGFZ,nd,,
THZB,nd,,
TIBD,nd,,
TIBR,nd,,
TIDA,nn,,
TIEX,nd,,
TIKO,nd,,
TIVM,nd,,
TIXC,nd,,
TKJD,nd,,
TMAV,nd,,
TMQT,nd,,
TMYB,nd,,
TNUQ,nd,,
TPJS,ng,,
TPQP,nd,,
TPTK,nd,,
TPVA,nd,,
TQKV,nd,,
TRDS,nd,,
TRYJ,nd,,
TSAA,nd,,
TSPB,nd,,
TTFI,ng,,
TTIS,nd,,
TTOF,nd,,
TUEM,ng,,
TUNJ,nd,,
TUSD,nd,,
TUZA,nd,,
TVAU,nd,,
