UID,PLACE,LAT,LONG,site_code,SDS_CODE,KANTON,AGE_COHORT,GENDER,MOBILITY
ABMX,Oensingen,47.29075,7.71757,SO02,SO19,SO,older,Weiblich,1
ABNI,Willisau,47.12156,7.99079,LU06,LU13,LU,older,Weiblich,1
ACBR,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,older,Weiblich,2
ACTW,Hospental,46.61895,8.56797,UR02,UR11,UR,younger,Männlich,1
ACXW,Appenzell,47.33092,9.41006,AI01,AP11,AI,older,Männlich,1
AEPC,Sumiswald,47.02803,7.74515,BE22,BE42,BE,younger,Männlich,1
AGAO,Engelberg,46.82197,8.40447,OW01,UW12,OW,older,Weiblich,1
AHQM,Ermatingen,47.67067,9.08441,TG02,TG8,TG,older,Weiblich,1
AHQN,Würenlingen,47.53103,8.25799,AG10,AG14,AG,younger,Weiblich,1
AHSH,Ernen,46.39836,8.14467,VS02,WS29,VS,younger,Weiblich,2
AIEB,Rorschach/Rorschacherberg,47.48601,9.49412,SG08,SG9,SG,younger,Männlich,2
AIKP,Altdorf,46.88088,8.643,UR01,UR4,UR,younger,Männlich,2
AISI,Marbach,46.85301,7.89888,LU03,LU32,LU,younger,Weiblich,1
AJFE,Einsiedeln,47.12706,8.75399,SZ01,SZ7,SZ,younger,Weiblich,2
AKVO,Obersaxen,46.74558,9.10069,GR05,GR25,GR,older,Weiblich,2
ALGD,Blatten,46.42061,7.81976,VS01,WS7,VS,older,Männlich,1
AMHY,Saas-Grund,46.12329,7.938,VS05,WS21,VS,older,Männlich,1
AMKV,Oensingen,47.29075,7.71757,SO02,SO19,SO,younger,Männlich,1
ANGR,Konolfingen,46.87897,7.62098,BE13,BE60,BE,younger,Männlich,2
ANTS,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,older,Weiblich,2
AOLG,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,older,Männlich,1
AOQC,Reigoldswil,47.39694,7.69164,BL05,BA23,BL,younger,Männlich,2
APFB,Büren,47.13906,7.37273,BE06,BE19,BE,younger,Weiblich,2
APID,Luzern,47.05392,8.30993,LU02,LU25,LU,younger,Weiblich,1
AQZL,Frutigen,46.58837,7.64741,BE09,BE102,BE,older,Männlich,1
ASHR,Mels,47.04644,9.41935,SG06,SG41,SG,younger,Männlich,2
AVMF,Churwalden,46.79686,9.53858,GR02,GR18,GR,older,Männlich,2
AWLY,Solothurn,47.2101,7.52971,SO04,SO25,SO,older,Männlich,3
AWMO,Fischingen,47.41407,8.96914,TG03,TG19,TG,younger,Männlich,2
AWQT,Bülach,47.5188,8.54061,ZH02,ZH16,ZH,older,Männlich,1
AYBA,Vättis,46.9093,9.44055,SG11,SG46,SG,older,Männlich,1
AZPO,Aesch,47.46817,7.59647,BL01,BA7,BL,younger,Männlich,2
BAVI,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,younger,Männlich,3
BBCP,Sumiswald,47.02803,7.74515,BE22,BE42,BE,older,Weiblich,1
BCMG,Herisau,47.38892,9.27575,AR01,AP1,AR,older,Weiblich,2
BCUE,Lungern,46.7851,8.1576,OW02,UW10,OW,older,Weiblich,1
BCVF,Bauma/Saland,47.36757,8.87776,ZH01,ZH46,ZH,younger,Weiblich,1
BDAX,Grindelwald,46.62478,8.03534,BE10,BE112,BE,younger,Männlich,1
BDGM,Hospental,46.61895,8.56797,UR02,UR11,UR,younger,Männlich,2
BDJF,Lungern,46.7851,8.1576,OW02,UW10,OW,older,Männlich,1
BDNI,Saanen/Gstaad,46.4787,7.27587,BE20,BE93,BE,younger,Weiblich,1
BDOI,Glarus,47.04119,9.06642,GL02,GL5,GL,older,Weiblich,2
BDUF,Aesch,47.46817,7.59647,BL01,BA7,BL,older,Weiblich,1
BEKM,Willisau,47.12156,7.99079,LU06,LU13,LU,younger,Weiblich,2
BEVG,Olten,47.35224,7.89789,SO03,SO12,SO,older,Weiblich,1
BFHL,Ins,47.00636,7.10464,BE12,BE28,BE,older,Weiblich,1
BFKG,Düdingen,46.84647,7.19085,FR01,FR4,FR,younger,Weiblich,2
