UID,V1,V2,COMMENTS
ABMX,gluxi,,
ABNI,hixi,,
ACBR,hitzgi,,
ACTW,hitzgi,,
ACXW,hitzger,,
AEPC,gluxi,,
AGAO,hixi,,
AHQM,hitzger,,
AHQN,hitzgi,,
AHSH,higge-r,,
AIEB,hitzgi,,
AIKP,hitzgi,,
AISI,hitzgi,,
AJFE,hitzgi,,
AKVO,hitzgi,,
ALGD,gluxi,,
AMHY,hüggi,,
AMKV,gluxi,,
ANGR,gluxi,,
ANTS,hixgi,,
AOLG,hitzgi,,
AOQC,gluxi,,
APFB,gluxi,,
APID,hitzgi,,
AQZL,SDATS_gropsi,,
ASHR,hitzgi,,
AVMF,hitzgi,,
AWLY,gluxi,,
AWMO,hitzgi,,
AWQT,hitzgi,,
AYBA,hitzgi,,
AZPO,gluxi,,
BAVI,SDATS_higzgi,,
BBCP,gluxi,,
BCMG,hitzgi,,
BCUE,SDATS_higzgi,,
BCVF,hitzgi,,
BDAX,gluxi,,
BDGM,hitzgi,,
BDJF,hixi,,
BDNI,gluxi,,
BDOI,hötsch(er),,
BDUF,gluxi,,
BEKM,hixgi,,
BEVG,gluxi,,
BFHL,gluxi,,
BFKG,hixi,,
BGTK,gluxi,,
BHBK,hitzgi,,
BHGY,hitzgi,,
BHXO,hitzgi,,
BJAD,hitzgi,,
BJUC,hitzgi,,
BKKM,hitzgi,,
BKNV,höscher,,
BLBZ,hitzgi,,
BLTF,hitzgi,,
BLZL,gluxi,,
BNAJ,hitzgi,,
BNBQ,hixi,,
BNOH,higgi,,
BNOO,gluxi,,
BOQG,gluxi,,
BOUD,hixi,,
BPSH,gluxi,,
BRVM,hixgi,,
BRVU,gluxi,,
BRXK,SDATS_schluckuuf o.ä.,,schluggüf
BRYH,SDATS_hötschg(er),,
BSRI,gluxi,,
BTKD,hitzgi,,
BUHM,hitzgi,,
BVDH,hitzgi,,
BVEO,gluxi,,
BWVF,gluxi,,
BXDO,hitzgi,,
BYPQ,hixi,,
BYRJ,gluxer,,
BYRX,jöscher_jöschen,,
BZEA,hitzger,,
BZEP,hitzgi,,
CALT,gluxi,,
CAVF,hitzgi,,
CBFY,gluxi,,
CBHV,hitzgi,,
CBVP,hitzgi,,
CCBS,gluxi,,
CCGH,gluxi,,
CCJW,higgi,,
CCOY,hitzgi,,
CCWJ,gluxi,,
CDSL,gluxi,,
CEIX,hitzgi,,
CFAB,hitzgi,,
CGCE,hützger,,
CGIB,higgi,,
CGQA,hitzgi,,
CICD,higgi,,
CIID,higgi,,
CJRU,hitzgi,,
CLBF,higgi,,
CLEJ,hitzgi,,
CLER,gluxi,,
CLIB,hitzgi,,
CLUZ,hitzgi,,
CMSY,gluxi,,
CNCW,gluxi,,
COOG,hitzgi,,
CQYU,hitzgi,,
CRSL,gluxi,,
CRWO,hitzgi,,
CTDF,gluxi,,
CWHJ,hitzgi,,
CWJJ,hixgi,,
CXMM,hitzgi,,
CXQZ,higgi,,
CXSB,gluxi,,
CYGU,hitzgi,,
CYSF,hitzgi,,
CYWL,hitzgi,,
CZER,hixi,,
CZJB,higgi,,
CZKB,gluxi,,
CZLH,hixi,,
CZMV,gluxi,,
DEML,gluxi,,
DFOW,hitzgi,,
DGMU,gluxi,,
DGSC,SDATS_hötschg(er),,
DHAB,NA,,"wortfindungsprobleme, nicht gewusst"
DHAM,hitzgi,,
DIYE,hitzgi,,
DIZP,hixgi,,
DJLC,gluxi,,
DJVZ,gluxi,,
DKPP,hitzgi,,
DKTE,gluxi,,
DMSW,higgi,,
DMYY,hitzgi,,
DNGG,gluxi,,
DNMP,hitzgi,,
DNOS,higgi,,
DNTL,SDATS_schlucki o.ä.,,
DNVV,hitzgi,,
DOED,hixgi,,
DOYR,SDATS_schlucki o.ä.,,schluckzgi
DQIU,hitzgi,,
DQYW,higgi,,
DRXU,hixgi,,
DSIC,gluxi,,
DSLN,gluxi,,
DSMR,gluxi,,
DTAZ,hixi,,
DTEM,hitzgi,,
DTWK,hitzgi,,
DTXP,gluxi,,
DUGA,higgi,,
DYAK,hitzgi,,
DYND,gluxi,,
DZTY,hixihäxi,,
EAVK,hitzger,,
EBCW,higgi,,
ECVN,gluxi,,
EDLT,hitzgi,,
EDTB,hitzgi,,
EECM,gluxi,,
EEIN,hitzgi,,
EFKS,hixi,,hexi
EFPC,gluxi,,
EGEH,hitzgi,,
EGZW,gluxi,,
EJOM,höscher,,
EJPH,gluxi,,
EJSR,gluxi,,
ELAJ,hitzgi,,
ELJW,hitzgi,,
EMDA,hitzgi,,
EMZF,gluxi,,
ENGZ,hitzgi,,
