UID,V1,V2,COMMENTS
ABMX,sehr helles a [a],,
ABNI,sehr helles a [a],,
ACBR,sehr helles a [a],,
ACTW,stark verdumpftes a [ɒ],,
ACXW,neutrales a [ɑ],,
AEPC,neutrales a [ɑ],,
AGAO,leicht verdumpftes a [ɑ̹],,
AHQM,sehr helles a [a],,
AHQN,neutrales a [ɑ],,
AHSH,leicht verdumpftes a [ɑ̹],,
AIEB,sehr helles a [a],,
AIKP,stark verdumpftes a [ɒ],,
AISI,neutrales a [ɑ],,
AJFE,leicht verdumpftes a [ɑ̹],,
AKVO,stark verdumpftes a [ɒ],,
ALGD,stark verdumpftes a [ɒ],,
AMHY,stark verdumpftes a [ɒ],,
AMKV,neutrales a [ɑ],,
ANGR,neutrales a [ɑ],,
ANTS,neutrales a [ɑ],,
AOLG,leicht verdumpftes a [ɑ̹],,
AOQC,neutrales a [ɑ],,
APFB,neutrales a [ɑ],,
APID,leicht verdumpftes a [ɑ̹],,
AQZL,leicht verdumpftes a [ɑ̹],,
ASHR,leicht verdumpftes a [ɑ̹],,
AVMF,sehr helles a [a],,
AWLY,neutrales a [ɑ],,
AWMO,sehr helles a [a],,
AWQT,leicht verdumpftes a [ɑ̹],,
AYBA,leicht verdumpftes a [ɑ̹],,
AZPO,neutrales a [ɑ],,
BAVI,leicht verdumpftes a [ɑ̹],,
BBCP,neutrales a [ɑ],,
BCMG,sehr helles a [a],,
BCUE,leicht verdumpftes a [ɑ̹],,
BCVF,stark verdumpftes a [ɒ],,
BDAX,leicht verdumpftes a [ɑ̹],,
BDGM,stark verdumpftes a [ɒ],,
BDJF,leicht verdumpftes a [ɑ̹],,
BDNI,neutrales a [ɑ],,
BDOI,leicht verdumpftes a [ɑ̹],,
BDUF,neutrales a [ɑ],,
BEKM,neutrales a [ɑ],,
BEVG,neutrales a [ɑ],,
BFHL,neutrales a [ɑ],,
BFKG,neutrales a [ɑ],,
BGTK,stark verdumpftes a [ɒ],,
BHBK,neutrales a [ɑ],,
BHGY,leicht verdumpftes a [ɑ̹],,
BHXO,stark verdumpftes a [ɒ],,
BJAD,stark verdumpftes a [ɒ],,
BJUC,leicht verdumpftes a [ɑ̹],,
BKKM,sehr helles a [a],,
BKNV,sehr helles a [a],,
BLBZ,sehr helles a [a],,
BLTF,stark verdumpftes a [ɒ],,
BLZL,neutrales a [ɑ],,
BNAJ,stark verdumpftes a [ɒ],,
BNBQ,leicht verdumpftes a [ɑ̹],,
BNOH,leicht verdumpftes a [ɑ̹],,
BNOO,neutrales a [ɑ],,
