UID,V1,V2,COMMENTS
ABMX,öpfel (gerundet),,
ABNI,öpfel (gerundet),,
ACBR,öpfel (gerundet),,
ACTW,epfel (ungerundet),,
ACXW,öpfel (gerundet),,
AEPC,öpfel (gerundet),,
AGAO,öpfel (gerundet),,
AHQM,öpfel (gerundet),,
AHQN,öpfel (gerundet),,
AHSH,epfel (ungerundet),,
AIEB,öpfel (gerundet),,
AIKP,öpfel (gerundet),,
AISI,öpfel (gerundet),,
AJFE,öpfel (gerundet),,
AKVO,epfel (ungerundet),,
ALGD,epfel (ungerundet),,
AMHY,epfel (ungerundet),,
AMKV,öpfel (gerundet),,
ANGR,öpfel (gerundet),,
ANTS,epfel (ungerundet),,
AOLG,öpfel (gerundet),,
AOQC,öpfel (gerundet),,
APFB,öpfel (gerundet),,
APID,öpfel (gerundet),,
AQZL,öpfel (gerundet),,
ASHR,öpfel (gerundet),,
AVMF,öpfel (gerundet),,
AWLY,öpfel (gerundet),,
AWMO,öpfel (gerundet),,
AWQT,öpfel (gerundet),,
AYBA,öpfel (gerundet),,
AZPO,öpfel (gerundet),,
BAVI,öpfel (gerundet),,
BBCP,öpfel (gerundet),,
BCMG,epfel (ungerundet),,
BCUE,epfel (ungerundet),,
BCVF,öpfel (gerundet),,
BDAX,öpfel (gerundet),,
BDGM,epfel (ungerundet),,
BDJF,epfel (ungerundet),,
BDNI,öpfel (gerundet),,
BDOI,öpfel (gerundet),,
BDUF,öpfel (gerundet),,
BEKM,öpfel (gerundet),,
BEVG,öpfel (gerundet),,
BFHL,öpfel (gerundet),,
BFKG,öpfel (gerundet),,
BGTK,öpfel (gerundet),,
BHBK,öpfel (gerundet),,
BHGY,öpfel (gerundet),,
BHXO,öpfel (gerundet),,
BJAD,epfel (ungerundet),,
BJUC,öpfel (gerundet),,
BKKM,öpfel (gerundet),,
BKNV,öpfel (gerundet),,
BLBZ,öpfel (gerundet),,
BLTF,öpfel (gerundet),,
BLZL,öpfel (gerundet),,
BNAJ,öpfel (gerundet),,
BNBQ,öpfel (gerundet),,
BNOH,epfel (ungerundet),,
BNOO,öpfel (gerundet),,
BOQG,öpfel (gerundet),,
BOUD,öpfel (gerundet),,
BPSH,öpfel (gerundet),,
BRVM,epfel (ungerundet),,
BRVU,öpfel (gerundet),,
BRXK,epfel (ungerundet),,
BRYH,öpfel (gerundet),,
BSRI,öpfel (gerundet),,
BTKD,öpfel (gerundet),,
BUHM,öpfel (gerundet),,
BVDH,öpfel (gerundet),,
BVEO,öpfel (gerundet),,
BWVF,öpfel (gerundet),,
BXDO,öpfel (gerundet),,
BYPQ,öpfel (gerundet),,
BYRJ,epfel (ungerundet),,
BYRX,öpfel (gerundet),,
BZEA,öpfel (gerundet),,
BZEP,öpfel (gerundet),,
CALT,öpfel (gerundet),,
CAVF,epfel (ungerundet),,
CBFY,öpfel (gerundet),,
CBHV,öpfel (gerundet),,
CBVP,öpfel (gerundet),,
CCBS,öpfel (gerundet),,
CCGH,öpfel (gerundet),,
CCJW,öpfel (gerundet),,
CCOY,öpfel (gerundet),,
CCWJ,öpfel (gerundet),,
CDSL,öpfel (gerundet),,
CEIX,öpfel (gerundet),,
CFAB,öpfel (gerundet),,
CGCE,öpfel (gerundet),,
CGIB,epfel (ungerundet),,
CGQA,öpfel (gerundet),,
CICD,epfel (ungerundet),,
CIID,öpfel (gerundet),,
CJRU,öpfel (gerundet),,
CLBF,epfel (ungerundet),,
CLEJ,epfel (ungerundet),,
CLER,öpfel (gerundet),,
CLIB,öpfel (gerundet),,
CLUZ,öpfel (gerundet),,
CMSY,öpfel (gerundet),,
CNCW,öpfel (gerundet),,
COOG,öpfel (gerundet),,
CQYU,öpfel (gerundet),,
CRSL,öpfel (gerundet),,
CRWO,öpfel (gerundet),,
CTDF,öpfel (gerundet),,
CWHJ,öpfel (gerundet),,
CWJJ,öpfel (gerundet),,
CXMM,öpfel (gerundet),,
CXQZ,epfel (ungerundet),,
CXSB,epfel (ungerundet),,
CYGU,öpfel (gerundet),,
CYKL,öpfel (gerundet),,
CYSF,öpfel (gerundet),,
CYWL,öpfel (gerundet),,
CZER,öpfel (gerundet),,
CZJB,epfel (ungerundet),,
CZKB,öpfel (gerundet),,
CZLH,öpfel (gerundet),,
CZMV,öpfel (gerundet),,
DEML,öpfel (gerundet),,
DFOW,öpfel (gerundet),,
DGMU,öpfel (gerundet),,
DGSC,öpfel (gerundet),,
DHAB,epfel (ungerundet),,
DHAM,öpfel (gerundet),,
DIYE,öpfel (gerundet),,
DIZP,öpfel (gerundet),,
DJLC,öpfel (gerundet),,
DJVZ,öpfel (gerundet),,
DKPP,öpfel (gerundet),,
DKTE,öpfel (gerundet),,
DMSW,epfel (ungerundet),,
DMYY,öpfel (gerundet),,
DNGG,öpfel (gerundet),,
DNMP,öpfel (gerundet),,
DNOS,epfel (ungerundet),,
DNTL,öpfel (gerundet),,
DNVV,epfel (ungerundet),,
DOED,öpfel (gerundet),,
DOYR,öpfel (gerundet),,
DQIU,öpfel (gerundet),,
DQYW,öpfel (gerundet),,
DRXU,epfel (ungerundet),,
DSIC,öpfel (gerundet),,
DSLN,öpfel (gerundet),,
DSMR,öpfel (gerundet),,
DTAZ,öpfel (gerundet),,
DTEM,epfel (ungerundet),,
DTWK,öpfel (gerundet),,
DTXP,öpfel (gerundet),,
DUGA,öpfel (gerundet),,
DYAK,öpfel (gerundet),,
DYND,öpfel (gerundet),,
DZTY,öpfel (gerundet),,
EAVK,öpfel (gerundet),,
EBCW,epfel (ungerundet),,
ECVN,öpfel (gerundet),,
EDLT,öpfel (gerundet),,
EDTB,öpfel (gerundet),,
EECM,öpfel (gerundet),,
EEIN,epfel (ungerundet),,
EFKS,öpfel (gerundet),,
EFPC,öpfel (gerundet),,
EGEH,öpfel (gerundet),,
EGZW,öpfel (gerundet),,
EJOM,öpfel (gerundet),,
EJPH,öpfel (gerundet),,
EJSR,öpfel (gerundet),,
ELAJ,öpfel (gerundet),,
ELJW,öpfel (gerundet),,
EMDA,öpfel (gerundet),,
EMZF,öpfel (gerundet),,
ENGZ,öpfel (gerundet),,
ENWC,öpfel (gerundet),,
EPKE,epfel (ungerundet),,
EPQP,öpfel (gerundet),,
ESSD,epfel (ungerundet),,
ESTD,epfel (ungerundet),,
ETKD,öpfel (gerundet),,
EUEH,öpfel (gerundet),,
EUGJ,epfel (ungerundet),,
EVCN,öpfel (gerundet),,
EVFU,öpfel (gerundet),,
EVJU,öpfel (gerundet),,
EVQN,öpfel (gerundet),,
EVVM,öpfel (gerundet),,
EWCC,öpfel (gerundet),,
EXRW,öpfel (gerundet),,
EYLY,öpfel (gerundet),,
EYWJ,öpfel (gerundet),,
EYXR,öpfel (gerundet),,
FAHE,öpfel (gerundet),,
FALC,öpfel (gerundet),,
FAPZ,öpfel (gerundet),,
FBTV,epfel (ungerundet),,
FBWY,öpfel (gerundet),,
FCLR,öpfel (gerundet),,
FEMF,öpfel (gerundet),,
FFOD,öpfel (gerundet),,
FFRL,epfel (ungerundet),,
FGTI,öpfel (gerundet),,
FHSY,epfel (ungerundet),,
FIBD,epfel (ungerundet),,
FIKU,öpfel (gerundet),,
FJCF,öpfel (gerundet),,
FJHI,öpfel (gerundet),,
FJJI,öpfel (gerundet),,
FJTV,öpfel (gerundet),,
FLCV,öpfel (gerundet),,
FLKN,öpfel (gerundet),,
FMFX,öpfel (gerundet),,
FMHR,öpfel (gerundet),,
FMOO,öpfel (gerundet),,
FNGR,öpfel (gerundet),,
FNUF,öpfel (gerundet),,
FNVT,öpfel (gerundet),,
FONZ,öpfel (gerundet),,
FOPS,öpfel (gerundet),,
FPFX,öpfel (gerundet),,
FPKO,öpfel (gerundet),,
FPZN,öpfel (gerundet),,
FQAF,epfel (ungerundet),,
FQWL,öpfel (gerundet),,
FQYS,öpfel (gerundet),,
FRBT,öpfel (gerundet),,
FRFQ,epfel (ungerundet),,
FRWW,öpfel (gerundet),,
FSTE,öpfel (gerundet),,
FSUY,öpfel (gerundet),,
FSWB,öpfel (gerundet),,
FTDY,öpfel (gerundet),,
FTFT,öpfel (gerundet),,
FVIK,SDATS_pummi,,
FVIZ,epfel (ungerundet),,
FVTU,öpfel (gerundet),,
FWAG,epfel (ungerundet),,
FWND,epfel (ungerundet),,
FXCQ,öpfel (gerundet),,
FXKN,öpfel (gerundet),,
FYQI,öpfel (gerundet),,
FZPW,öpfel (gerundet),,
GAUD,öpfel (gerundet),,
GAZV,öpfel (gerundet),,
GBTH,öpfel (gerundet),,
GDJE,öpfel (gerundet),,
GFKH,öpfel (gerundet),,
GFPM,epfel (ungerundet),,
GFYZ,epfel (ungerundet),,
GGLE,öpfel (gerundet),,
GGSX,öpfel (gerundet),,
GHGD,öpfel (gerundet),,
GHLF,öpfel (gerundet),,
GHMK,epfel (ungerundet),,
GHXY,öpfel (gerundet),,
GIIR,öpfel (gerundet),,
GIOH,öpfel (gerundet),,
GIQG,öpfel (gerundet),,
GIWV,epfel (ungerundet),,
GJCI,SDATS_pummi,,
GKBE,öpfel (gerundet),,
GKBV,öpfel (gerundet),,
GMMO,öpfel (gerundet),,
GMWW,öpfel (gerundet),,
GNBU,öpfel (gerundet),,
GNMQ,öpfel (gerundet),,
GOAU,öpfel (gerundet),,
GOLW,epfel (ungerundet),,
GOOB,öpfel (gerundet),,
GOQI,öpfel (gerundet),,
GOSY,öpfel (gerundet),,
GOYC,epfel (ungerundet),,
GPAK,öpfel (gerundet),,
GPGA,öpfel (gerundet),,
GRAR,öpfel (gerundet),,
GRPJ,öpfel (gerundet),,
GSLS,öpfel (gerundet),,
GUTF,öpfel (gerundet),,
GVNN,epfel (ungerundet),,
GVUS,epfel (ungerundet),,
GWOX,epfel (ungerundet),,
GXEB,epfel (ungerundet),,
GYBZ,öpfel (gerundet),,
GYUD,öpfel (gerundet),,
GZMD,öpfel (gerundet),,
HBBQ,öpfel (gerundet),,
HCIF,öpfel (gerundet),,
HDLV,öpfel (gerundet),,
HDNF,öpfel (gerundet),,
HEHU,öpfel (gerundet),,
HEVH,öpfel (gerundet),,
HFCS,"äpfel (ungerundet, überoffen)",,
HFSV,öpfel (gerundet),,
HGBP,öpfel (gerundet),,
HGYK,öpfel (gerundet),,
HHHE,epfel (ungerundet),,
HIGZ,öpfel (gerundet),,
HKRF,öpfel (gerundet),,
HLFM,öpfel (gerundet),,
HMXR,öpfel (gerundet),,
HPNB,öpfel (gerundet),,
HPYW,epfel (ungerundet),,
HQPB,epfel (ungerundet),,
HUBI,öpfel (gerundet),,
HUDO,öpfel (gerundet),,
HUYI,öpfel (gerundet),,
HVLO,öpfel (gerundet),,
HWDZ,öpfel (gerundet),,
HWOL,öpfel (gerundet),,
HWTX,epfel (ungerundet),,
HWYK,öpfel (gerundet),,
HXHY,öpfel (gerundet),,
HXVS,öpfel (gerundet),,
HXZZ,epfel (ungerundet),,
HZBG,öpfel (gerundet),,
HZRN,öpfel (gerundet),,
HZVF,epfel (ungerundet),,
IATI,epfel (ungerundet),,
IBYY,öpfel (gerundet),,
IDFP,epfel (ungerundet),,
IEEA,öpfel (gerundet),,
IGCP,öpfel (gerundet),,
IGVA,epfel (ungerundet),,
IHIF,öpfel (gerundet),,
IJMG,epfel (ungerundet),,
IJQQ,öpfel (gerundet),,
IKHY,öpfel (gerundet),,
IKIA,öpfel (gerundet),,
IKNR,öpfel (gerundet),,
IMMC,epfel (ungerundet),,
IMST,öpfel (gerundet),,
INBX,öpfel (gerundet),,
IOCC,öpfel (gerundet),,
IOSV,öpfel (gerundet),,
IPCB,"äpfel (ungerundet, überoffen)",,
IPHH,öpfel (gerundet),,
IPJN,öpfel (gerundet),,
IPMA,öpfel (gerundet),,
IPQX,öpfel (gerundet),,
ISAE,öpfel (gerundet),,
ISEJ,öpfel (gerundet),,
ISGL,öpfel (gerundet),,
IVZI,öpfel (gerundet),,
IXKM,öpfel (gerundet),,
IXXR,epfel (ungerundet),,
IZNJ,öpfel (gerundet),,
IZSQ,epfel (ungerundet),,
JAGZ,öpfel (gerundet),,
JASL,öpfel (gerundet),,
JAXC,öpfel (gerundet),,
JBIL,öpfel (gerundet),,
JCQC,öpfel (gerundet),,
JDKE,epfel (ungerundet),,
JDOB,öpfel (gerundet),,
JEAL,öpfel (gerundet),,
JEAO,öpfel (gerundet),,
JEUB,epfel (ungerundet),,
JGLJ,öpfel (gerundet),,
JGSK,öpfel (gerundet),,
JICI,öpfel (gerundet),,
JIME,epfel (ungerundet),,
JIQI,öpfel (gerundet),,
JIYA,öpfel (gerundet),,
JKBX,öpfel (gerundet),,
JKZM,öpfel (gerundet),,
JLQZ,öpfel (gerundet),,
JMOG,öpfel (gerundet),,
JNDD,öpfel (gerundet),,
JNLN,öpfel (gerundet),,
JOFB,öpfel (gerundet),,
JPQE,öpfel (gerundet),,
JRME,epfel (ungerundet),,
JSHF,öpfel (gerundet),,
JTEM,öpfel (gerundet),,
JTPS,öpfel (gerundet),,
JTVH,öpfel (gerundet),,
JUIK,öpfel (gerundet),,
JURN,epfel (ungerundet),,
JVJL,öpfel (gerundet),,
JVOT,epfel (ungerundet),,
JXAT,öpfel (gerundet),,
JXGS,öpfel (gerundet),,
JXIV,öpfel (gerundet),,
KBMJ,öpfel (gerundet),,
KCRZ,öpfel (gerundet),,
KCUO,epfel (ungerundet),,
KDEU,epfel (ungerundet),,
KDRC,epfel (ungerundet),,
KDYB,epfel (ungerundet),,
KEDM,epfel (ungerundet),,
KEOL,öpfel (gerundet),,
KEOY,öpfel (gerundet),,
KETC,öpfel (gerundet),,
KEZZ,öpfel (gerundet),,
KFFF,öpfel (gerundet),,
KFQY,öpfel (gerundet),,
KFTU,öpfel (gerundet),,
KFYD,öpfel (gerundet),,
KHMQ,epfel (ungerundet),,
KHPQ,öpfel (gerundet),,
KJEV,öpfel (gerundet),,
KJNO,öpfel (gerundet),,
KKHV,öpfel (gerundet),,
KKTQ,öpfel (gerundet),,
KLXL,öpfel (gerundet),,
KMII,öpfel (gerundet),,
KNCA,epfel (ungerundet),,
KNPB,öpfel (gerundet),,
KOOG,epfel (ungerundet),,
KOQB,öpfel (gerundet),,
KORE,öpfel (gerundet),,
KPFH,öpfel (gerundet),,
KPHL,öpfel (gerundet),,
KQWD,öpfel (gerundet),,
KRKJ,öpfel (gerundet),,
KRMJ,öpfel (gerundet),,
KRZH,öpfel (gerundet),,
KSJX,öpfel (gerundet),,
KUGY,öpfel (gerundet),,
KUSC,öpfel (gerundet),,
KVDO,öpfel (gerundet),,
KVYN,öpfel (gerundet),,
KXNF,öpfel (gerundet),,
KYSI,öpfel (gerundet),,
KZCC,öpfel (gerundet),,
LAKO,öpfel (gerundet),,
LAKP,öpfel (gerundet),,
LAOE,epfel (ungerundet),,
LAPG,öpfel (gerundet),,
LAXN,öpfel (gerundet),,
LBNN,epfel (ungerundet),,
LBVW,öpfel (gerundet),,
LBYC,öpfel (gerundet),,
LCNW,öpfel (gerundet),,
LCXS,epfel (ungerundet),,
LDAP,öpfel (gerundet),,
LDNK,öpfel (gerundet),,
LDXH,öpfel (gerundet),,
LEDK,öpfel (gerundet),,
LEGF,öpfel (gerundet),,
LEJJ,öpfel (gerundet),,
LFFD,öpfel (gerundet),,
LHAU,öpfel (gerundet),,
LHHT,öpfel (gerundet),,
LHTZ,öpfel (gerundet),,
LIDX,öpfel (gerundet),,
LIPR,öpfel (gerundet),,
LJIP,öpfel (gerundet),,
LLBP,öpfel (gerundet),,
LLNV,öpfel (gerundet),,
LMVO,öpfel (gerundet),,
LOCO,öpfel (gerundet),,
LOFY,öpfel (gerundet),,
LOHZ,öpfel (gerundet),,
LPNE,öpfel (gerundet),,
LQUM,öpfel (gerundet),,
LQVZ,öpfel (gerundet),,
LRMP,öpfel (gerundet),,
LSIS,epfel (ungerundet),,
LTAQ,öpfel (gerundet),,
LTSU,öpfel (gerundet),,
LTSZ,öpfel (gerundet),,
LVGN,öpfel (gerundet),,
LVXL,öpfel (gerundet),,
LWCO,öpfel (gerundet),,
LYFW,epfel (ungerundet),,
LZBT,öpfel (gerundet),,
LZBW,öpfel (gerundet),,
MAQI,öpfel (gerundet),,
MAXS,öpfel (gerundet),,
MBKO,öpfel (gerundet),,
MBVT,öpfel (gerundet),,
MCEZ,epfel (ungerundet),,
MCJN,öpfel (gerundet),,
MCMB,SDATS_pummi,,
MCQO,öpfel (gerundet),,
MEFD,öpfel (gerundet),,
MEWO,öpfel (gerundet),,
MGNO,öpfel (gerundet),,
MHUD,öpfel (gerundet),,
MHXW,öpfel (gerundet),,
MIDF,öpfel (gerundet),,
MIEI,epfel (ungerundet),,
MIIK,öpfel (gerundet),,
MIXG,öpfel (gerundet),,
MJKM,öpfel (gerundet),,
MKDC,epfel (ungerundet),,
MLPB,öpfel (gerundet),,
MNJJ,öpfel (gerundet),,
MOCP,epfel (ungerundet),,
MOHG,öpfel (gerundet),,
MPDX,öpfel (gerundet),,
MQDQ,öpfel (gerundet),,
MRDQ,öpfel (gerundet),,
MSCO,öpfel (gerundet),,
MSOH,epfel (ungerundet),,
MWVG,öpfel (gerundet),,
MXCL,öpfel (gerundet),,
MXDT,öpfel (gerundet),,
MXJS,öpfel (gerundet),,
MYXS,öpfel (gerundet),,
NDVI,epfel (ungerundet),,
NDWO,öpfel (gerundet),,
NDZV,öpfel (gerundet),,
NEIS,epfel (ungerundet),,
NFNF,öpfel (gerundet),,
NGPR,öpfel (gerundet),,
NHCM,öpfel (gerundet),,
NIAP,öpfel (gerundet),,
NIDZ,öpfel (gerundet),,
NIHI,öpfel (gerundet),,
NJTA,epfel (ungerundet),,
NLQP,öpfel (gerundet),,
NMCH,öpfel (gerundet),,
NMUE,epfel (ungerundet),,
NMZI,epfel (ungerundet),,
NNHI,öpfel (gerundet),,
NNPH,öpfel (gerundet),,
NOMA,öpfel (gerundet),,
NOQT,öpfel (gerundet),,
NPFH,epfel (ungerundet),,
NPQC,öpfel (gerundet),,
NQPL,öpfel (gerundet),,
NSBJ,epfel (ungerundet),,
NUCN,öpfel (gerundet),,
NUHA,öpfel (gerundet),,
NUYJ,öpfel (gerundet),,
NVYG,öpfel (gerundet),,
NWFD,öpfel (gerundet),,
NWTU,öpfel (gerundet),,
NXDG,öpfel (gerundet),,
NYTH,öpfel (gerundet),,
NZQW,öpfel (gerundet),,
OASX,öpfel (gerundet),,
OBMP,öpfel (gerundet),,
OCBC,öpfel (gerundet),,
ODPT,epfel (ungerundet),,
OEAH,öpfel (gerundet),,
OEZX,öpfel (gerundet),,
OFCF,öpfel (gerundet),,
OFFV,öpfel (gerundet),,
OFQQ,öpfel (gerundet),,
OFXV,öpfel (gerundet),,
OGPV,öpfel (gerundet),,
OGQG,öpfel (gerundet),,
OHPG,epfel (ungerundet),,
OIDW,öpfel (gerundet),,
OKGR,öpfel (gerundet),,
OKOZ,öpfel (gerundet),,
OKWW,öpfel (gerundet),,
OLBL,epfel (ungerundet),,
OLQM,öpfel (gerundet),,
OOMM,öpfel (gerundet),,
OPGH,epfel (ungerundet),,
ORGN,epfel (ungerundet),,
ORWP,öpfel (gerundet),,
ORZF,öpfel (gerundet),,
ORZO,öpfel (gerundet),,
OSIL,öpfel (gerundet),,
OTGL,öpfel (gerundet),,
OTKB,öpfel (gerundet),,
OUQD,öpfel (gerundet),,
OUZE,öpfel (gerundet),,
OWGL,öpfel (gerundet),,
OWIM,epfel (ungerundet),,
OYFQ,öpfel (gerundet),,
OYUZ,öpfel (gerundet),,
OYYZ,öpfel (gerundet),,
OZSY,öpfel (gerundet),,
PCJF,öpfel (gerundet),,
PCMF,öpfel (gerundet),,
PCNX,öpfel (gerundet),,
PDLD,öpfel (gerundet),,
PEAV,öpfel (gerundet),,
PGMA,epfel (ungerundet),,
PIVE,öpfel (gerundet),,
PJCV,öpfel (gerundet),,
PLSP,öpfel (gerundet),,
PMBH,öpfel (gerundet),,
PMLQ,öpfel (gerundet),,
PQFD,öpfel (gerundet),,
PRTT,öpfel (gerundet),,
PTMF,öpfel (gerundet),,
PWBS,öpfel (gerundet),,
PWRG,"äpfel (ungerundet, überoffen)",,
PXDH,öpfel (gerundet),,
PXYB,öpfel (gerundet),,
PYDG,öpfel (gerundet),,
PYRT,öpfel (gerundet),,
PZKU,öpfel (gerundet),,
QAMI,öpfel (gerundet),,
QBCZ,öpfel (gerundet),,
QBYH,öpfel (gerundet),,
QDBA,epfel (ungerundet),,
QDCG,öpfel (gerundet),,
QDGR,öpfel (gerundet),,
QDGV,epfel (ungerundet),,
QEOR,epfel (ungerundet),,
QFCD,öpfel (gerundet),,
QFPK,öpfel (gerundet),,
QGPN,öpfel (gerundet),,
QKEJ,epfel (ungerundet),,
QKJG,öpfel (gerundet),,
QKOW,öpfel (gerundet),,
QKPX,öpfel (gerundet),,
QMBF,öpfel (gerundet),,
QMGE,epfel (ungerundet),,
QMNB,öpfel (gerundet),,
QNPX,öpfel (gerundet),,
QNXD,öpfel (gerundet),,
QOOD,öpfel (gerundet),,
QOST,öpfel (gerundet),,
QQKY,öpfel (gerundet),,
QRRJ,epfel (ungerundet),,
QSIC,öpfel (gerundet),,
QVTY,öpfel (gerundet),,
QVWW,öpfel (gerundet),,
QVXX,öpfel (gerundet),,
QVYB,öpfel (gerundet),,
QVYF,öpfel (gerundet),,
QWZT,öpfel (gerundet),,
QXIH,öpfel (gerundet),,
QYGT,epfel (ungerundet),,
QZDY,öpfel (gerundet),,
QZEX,öpfel (gerundet),,
RAJQ,epfel (ungerundet),,
RAKP,öpfel (gerundet),,
RATN,öpfel (gerundet),,
RBLS,öpfel (gerundet),,
RBOG,epfel (ungerundet),,
RCDF,öpfel (gerundet),,
RCFR,öpfel (gerundet),,
RCWY,öpfel (gerundet),,
RDTE,öpfel (gerundet),,
RGML,öpfel (gerundet),,
RGSE,öpfel (gerundet),,
RHJX,öpfel (gerundet),,
RHWR,öpfel (gerundet),,
RHYD,öpfel (gerundet),,
RIOS,öpfel (gerundet),,
RJVT,epfel (ungerundet),,
RLFX,epfel (ungerundet),,
RLZK,öpfel (gerundet),,
RMKN,öpfel (gerundet),,
RMNW,öpfel (gerundet),,
RMYB,öpfel (gerundet),,
RMZZ,epfel (ungerundet),,
RNEW,öpfel (gerundet),,
RNLY,öpfel (gerundet),,
ROMW,öpfel (gerundet),,
ROPY,öpfel (gerundet),,
ROYT,öpfel (gerundet),,
RQHU,öpfel (gerundet),,
RQJR,öpfel (gerundet),,
RRAU,öpfel (gerundet),,
RRDW,epfel (ungerundet),,
RRUY,öpfel (gerundet),,
RRWK,öpfel (gerundet),,
RSUK,öpfel (gerundet),,
RVHZ,öpfel (gerundet),,
RVPF,epfel (ungerundet),,
RWZQ,öpfel (gerundet),,
RXAO,öpfel (gerundet),,
RXJS,öpfel (gerundet),,
RXSC,öpfel (gerundet),,
RYDG,öpfel (gerundet),,
RZKH,öpfel (gerundet),,
SATI,öpfel (gerundet),,
SAUU,öpfel (gerundet),,
SBMK,epfel (ungerundet),,
SCON,öpfel (gerundet),,
SCTT,öpfel (gerundet),,
SDOI,öpfel (gerundet),,
SDYX,epfel (ungerundet),,
SDYY,öpfel (gerundet),,
SFID,öpfel (gerundet),,
SFSY,epfel (ungerundet),,
SHDQ,öpfel (gerundet),,
SHOU,epfel (ungerundet),,
SIBL,öpfel (gerundet),,
SION,epfel (ungerundet),,
SJVF,epfel (ungerundet),,
SKNK,öpfel (gerundet),,
SLLT,öpfel (gerundet),,
SNDV,epfel (ungerundet),,
SOKG,öpfel (gerundet),,
SOZJ,öpfel (gerundet),,
SPBA,öpfel (gerundet),,
SPCF,öpfel (gerundet),,
SPYB,öpfel (gerundet),,
SQAT,öpfel (gerundet),,
SRJK,öpfel (gerundet),,
SSQE,SDATS_pummi,,
SSZQ,epfel (ungerundet),,
STGG,epfel (ungerundet),,
STIG,epfel (ungerundet),,
STWW,öpfel (gerundet),,
SUKO,öpfel (gerundet),,
SUPE,öpfel (gerundet),,
SWXV,öpfel (gerundet),,
SXAH,öpfel (gerundet),,
SXHP,epfel (ungerundet),,
SXMH,öpfel (gerundet),,
SXOS,öpfel (gerundet),,
SYIN,öpfel (gerundet),,
SYWQ,öpfel (gerundet),,
SYZH,öpfel (gerundet),,
SZYP,öpfel (gerundet),,
TASM,öpfel (gerundet),,
TBJW,öpfel (gerundet),,
TCBP,epfel (ungerundet),,
TFBR,öpfel (gerundet),,
TFRP,epfel (ungerundet),,
TFUD,öpfel (gerundet),,
TGFZ,öpfel (gerundet),,
THZB,epfel (ungerundet),,
TIBD,öpfel (gerundet),,
TIBR,öpfel (gerundet),,
TIDA,öpfel (gerundet),,
TIEX,epfel (ungerundet),,
TIKO,öpfel (gerundet),,
TIVM,öpfel (gerundet),,
TIXC,öpfel (gerundet),,
TKJD,epfel (ungerundet),,
TMAV,öpfel (gerundet),,
TMQT,öpfel (gerundet),,
TMYB,öpfel (gerundet),,
TNUQ,öpfel (gerundet),,
TPJS,öpfel (gerundet),,
TPQP,öpfel (gerundet),,
TPTK,öpfel (gerundet),,
TPVA,öpfel (gerundet),,
TQKV,epfel (ungerundet),,
TRDS,epfel (ungerundet),,
TRYJ,öpfel (gerundet),,
TSAA,öpfel (gerundet),,
TSPB,öpfel (gerundet),,
TTFI,öpfel (gerundet),,
TTIS,öpfel (gerundet),,
TTOF,öpfel (gerundet),,
TUEM,öpfel (gerundet),,
TUNJ,öpfel (gerundet),,
TUSD,öpfel (gerundet),,
TUZA,öpfel (gerundet),,
TVAU,öpfel (gerundet),,
TVET,öpfel (gerundet),,
TVKA,öpfel (gerundet),,
TVYF,öpfel (gerundet),,
TVZQ,öpfel (gerundet),,
TWDN,öpfel (gerundet),,
TWOR,öpfel (gerundet),,
TYCF,öpfel (gerundet),,
TYEY,epfel (ungerundet),,
UAFK,öpfel (gerundet),,
UBKB,öpfel (gerundet),,
UCAX,öpfel (gerundet),,
UDTD,öpfel (gerundet),,
UDXP,epfel (ungerundet),,
UFAM,öpfel (gerundet),,
UFDY,öpfel (gerundet),,
UGBP,epfel (ungerundet),,
UGGO,öpfel (gerundet),,
UGYQ,öpfel (gerundet),,
UHTS,öpfel (gerundet),,
UICW,öpfel (gerundet),,
UIHT,öpfel (gerundet),,
UKEJ,öpfel (gerundet),,
ULLP,öpfel (gerundet),,
