UID,V1,V2,COMMENTS
ABMX,Gige(r)tschi,,
ABNI,Bätzgi,,
ACBR,Bitzgi,,
ACTW,Bitschgi,,
ACXW,Bitzgi,,
AEPC,Gige(r)tschi,,öpfugigetschi
AGAO,Bitzgi,,
AHQM,Bitzgi,,
AHQN,Bütschgi,,
AHSH,0_NA,,
AIEB,Bitzgi,,
AIKP,Bitschgi,,
AISI,Bätzgi,,
AJFE,SDATS_Gütschgi,,
AKVO,Bitschgi,,
ALGD,SDATS_Pfuschi,,pfutschi
AMHY,0_NA,,"Buschi, aber das sagen wir hier eigentlich nicht^"
AMKV,Gige(r)tschi,,
ANGR,Gröibschi,,
ANTS,Bätschgi,,
AOLG,Bätschgi,,
AOQC,Bütschgi,,
APFB,Gröibschi,,
APID,Bitzgi,,
AQZL,Grübschi,,
ASHR,Bitschgi,,
AVMF,Bitschgi,,
AWLY,Gige(r)tschi,,
AWMO,Bitschgi,,
AWQT,Bütschgi,,
AYBA,Bitschgi,,
AZPO,Bütschgi,,
BAVI,Bätzgi,,
BBCP,Gige(r)tschi,,
BCMG,Bitzgi,,
BCUE,Bätzi,,
BCVF,Bütschgi,,
BDAX,Grübschi,,
BDGM,Bitschgi,,
BDJF,Bätzi,,
BDNI,Grübschi,,
BDOI,Bütschgi,,
BDUF,Giegi,,Giegi
BEKM,Bätzgi,,
BEVG,Güürbsi,,
BFHL,Gröibschi,,
BFKG,Gröitschi,,
BGTK,Grübschi,,
BHBK,Bitschgi,,
BHGY,Bütschgi,,
BHXO,Bütschgi,,
BJAD,Bitschgi,,
BJUC,Bitschgi,,
BKKM,Bitzgi,,
BKNV,Bitschgi,,
BLBZ,Bitschgi,,
BLTF,Bitschgi,,
BLZL,Gröibschi,,
BNAJ,Bütschgi,,
BNBQ,0_NA,,
BNOH,Gröibschi,,Greibschi
BNOO,Gröibschi,,
BOQG,Gige(r)tschi,,
BOUD,Güürbsi,,
BPSH,Üürbsi,,
BRVM,Bätzi,,
BRVU,Gröitschi,,
BRXK,SDATS_Gnagi,,
BRYH,Gütschi,,
BSRI,Bütschgi,,
BTKD,Bitzgi,,
BUHM,Bitzgi,,
BVDH,Bütschgi,,
BVEO,SDATS_Gnagi,,gnäägi 
BWVF,Gige(r)tschi,,
BXDO,Bitzgi,,
BYPQ,Gröitschi,,
BYRJ,Bitschgi,,
BYRX,Bitschgi,,
BZEA,Bitzgi,,
BZEP,Bütschgi,,
CALT,Bitzgi,,
CAVF,Bitzgi,,
CBFY,Grübschi,,
CBHV,Bitschgi,,
CBVP,Bitzgi,,
CCBS,Giegi,,Giegi
CCGH,Gröitschi,,
CCJW,Gröibtschi,,
CCOY,Bitzgi,,
CCWJ,Gröibschi,,
CDSL,Gröibschi,,
CEIX,Bütschgi,,
CFAB,0_NA,,
CGCE,Bäck,,
CGIB,Bitschgi,,
CGQA,Butze,,
CICD,Chääre,SDATS_Buschi ,Apfelchääru & Buuschi 
CIID,Butschgi,,
CJRU,Bütschgi,,
CLBF,SDATS_Buschi ,,
CLEJ,SDATS_Grotschetu,,
CLER,Gige(r)tschi,,
CLIB,Bütschgi,,
CLUZ,Bütschgi,,
CMSY,Gröibschi,,
CNCW,Gröibschi,,
COOG,Bitzgi,,
CQYU,Bütschgi,,
CRSL,Güürbsi,,
CRWO,Bütschgi,,
CTDF,Gröibschi,,
CWHJ,Bätschgi,,
CWJJ,Bitzgi,,
CXMM,Bütschgi,,
CXQZ,0_NA,,
CXSB,SDATS_Strungg,,
CYGU,Bätzgi,,
CYSF,SDATS_Gütschgi,,
CYWL,Bütschgi,,
CZER,Güürbsi,,
CZJB,0_NA,,
CZKB,Bütschgi,,
CZLH,Gröibschi,,
CZMV,Gige(r)tschi,,
DEML,Grübschi,,
DFOW,Ghüüs,,Chärnghüüs
DGMU,Gige(r)tschi,,
DGSC,Grübschi,,
DHAB,SDATS_Pfuschi,,Pfutschi
DHAM,Bütschgi,,
DIYE,Bitzgi,,
DIZP,Bütschgi,,
DJLC,Bitzgi,,
DJVZ,Gröibschi,,
DKPP,Bitschgi,,
DKTE,Bütschgi,,
DMSW,SDATS_Gronggi ,SDATS_Gruschi ,
DMYY,Bitzgi,,
DNGG,Grübschi,,
DNMP,Bitschgi,,
DNOS,SDATS_Grotschetu,,
DNTL,SDATS_Chreutschgi,,
DNVV,Bitschgi,,
