UID,V1,V2,COMMENTS
ABMX,härdöpfel,,
ABNI,härdöpfel,,
ACBR,härdöpfel,,
ACTW,härdöpfel,,
ACXW,hädöpfel,,
AEPC,härdöpfel,,
AGAO,härdöpfel,,
AHQM,härdöpfel,,
AHQN,hädöpfel,,
AHSH,härdöpfel,,
AIEB,härdöpfel,,
AIKP,härdöpfel,,
AISI,härdöpfel,,
AJFE,gumel(i),,
AKVO,härdepfel,,
ALGD,härdepfel,,
AMHY,häärpfel,,
AMKV,härdöpfel,,
ANGR,härdöpfel,,
ANTS,härdepfel,,
AOLG,gumel(i),,
AOQC,härdöpfel,,
APFB,härdöpfel,,
APID,härdöpfel,,
AQZL,häppere,,hääperli
ASHR,härdöpfel,,
AVMF,hördöpfel,,
AWLY,härdöpfel,,
AWMO,härdöpfel,,
AWQT,härdöpfel,,
AYBA,hördöpfel,,
AZPO,härdöpfel,,
BAVI,härdöpfel,,
BBCP,härdöpfel,,
BCMG,härdepfel,,
BCUE,härdepfel,,
BCVF,härdöpfel,,
BDAX,härdöpfel,,
BDGM,härdepfel,,
BDJF,härdepfel,,
BDNI,härdöpfel,,
BDOI,härdöpfel,,
BDUF,härdöpfel,,
BEKM,härdöpfel,,
BEVG,hädöpfel,,
BFHL,hördöpfel,,
BFKG,häppere,,häppera
BGTK,häbel,,
BHBK,härdöpfel,,
BHGY,gumel(i),härdöpfel,
BHXO,härdöpfel,,
BJAD,härdepfel,,
BJUC,härdöpfel,,
BKKM,härdöpfel,,
BKNV,härdöpfel,,
BLBZ,härdöpfel,,
BLTF,härdöpfel,,
BLZL,härdöpfel,,
BNAJ,härdöpfel,,
BNBQ,härdöpfel,,
BNOH,häärpfel,,
BNOO,härdöpfel,,
BOQG,härdöpfel,,
BOUD,härdöpfel,,
BPSH,härdöpfel,,
BRVM,härtipfel,,
BRVU,häppere,,häppera
BRXK,häärpfel,,
BRYH,härdöpfel,,
BSRI,hädöpfel,,
BTKD,härdöpfel,,
BUHM,häärpfel,,
BVDH,härdöpfel,,
BVEO,härdöpfel,,
BWVF,härdöpfel,,
BXDO,härdöpfel,,
BYPQ,häppere,,häppera
BYRJ,härdöpfel,,
BYRX,härdöpfel,,
BZEA,härdöpfel,,
BZEP,härdöpfel,,
CALT,härdöpfel,,
CAVF,härdepfel,,
CBFY,härdöpfel,,
CBHV,härdöpfel,,
CBVP,härdöpfel,,
CCBS,härdöpfel,,
CCGH,härdöpfel,,
CCJW,häppere,,häppera
CCOY,härdöpfel,,
CCWJ,härdöpfel,,
CDSL,härdöpfel,,
CEIX,gumel(i),,
CFAB,häppere,,
CGCE,gumel(i),,
CGIB,häärpfel,,häärpful
CGQA,härdöpfel,,
CICD,häärpfel,,
CIID,härdöpfel,,
CJRU,härdöpfel,,
CLBF,häärpfel,,
CLEJ,häärpfel,,häärpfil
CLER,härdöpfel,,
CLIB,härdöpfel,,
CLUZ,häppiir_häpiere,,
CMSY,härdöpfel,,
CNCW,härdöpfel,,
COOG,höröpfel,,häröpfel
CQYU,härdöpfel,,
CRSL,härdöpfel,,
CRWO,härdöpfel,,
CTDF,härdöpfel,,
CWHJ,härdöpfel,,
CWJJ,härdöpfel,,
CXMM,härdöpfel,,
CXQZ,häärpfel,,
CXSB,häärpfel,,
CYGU,härdöpfel,,
CYKL,härdöpfel,,
CYSF,härdöpfel,,
CYWL,härdöpfel,,
CZER,härdöpfel,,
CZJB,häärpfel,,
CZKB,härdöpfel,,
CZLH,härdöpfel,,
CZMV,härdöpfel,,
DEML,härdöpfel,,
DFOW,härdöpfel,,
DGMU,härdöpfel,,
DGSC,härdöpfel,,
DHAB,härdöpfel,,
DHAM,härdöpfel,,
DIYE,härdöpfel,,
DIZP,härdöpfel,,
DJLC,härdöpfel,,
DJVZ,härdöpfel,,
DKPP,härdöpfel,SDATS_patati,
DKTE,hädöpfel,,
DMSW,häärpfel,,häärpfil
DMYY,härdöpfel,,
DNGG,härdöpfel,,
DNMP,härdöpfel,,
DNOS,häärpfel,,häärpfil
DNTL,häppere,,häppera
DNVV,härdepfel,,
DOED,härdöpfel,,
DOYR,härdepfel,,
DQIU,härdöpfel,,
DQYW,härdepfel,,
DRXU,härdepfel,,
DSIC,härdöpfel,,
DSLN,hädöpfel,,
DSMR,härdöpfel,,
DTAZ,härdöpfel,,
DTEM,härdepfel,,
DTWK,härdöpfel,,
DTXP,härdöpfel,,
DUGA,häppere,,häppera
DYAK,härdöpfel,,
DYND,härdöpfel,,
DZTY,härdöpfel,,
EAVK,äärdli,,
EBCW,häärpfel,,
ECVN,härdöpfel,,
EDLT,härdöpfel,,
EDTB,härdöpfel,,
EECM,härdöpfel,,
EEIN,härdepfel,,
EFKS,härdöpfel,,
EFPC,härdöpfel,,
EGEH,hördöpfel,,
EGZW,härdöpfel,,
EJOM,härdöpfel,,
EJPH,härdöpfel,,
EJSR,härdöpfel,,
ELAJ,härdöpfel,,
ELJW,härdöpfel,,
EMDA,hördöpfel,,
EMZF,härdöpfel,,
ENGZ,hööröpfel,,
ENWC,härdöpfel,,
EPKE,hädöpfel,,hedepfel
EPQP,härdöpfel,,
ESSD,häärpfel,,
ESTD,härdepfel,,
ETKD,häppere,,häppera
EUEH,härdöpfel,,
EUGJ,häärpfel,,
EVCN,härdöpfel,,
EVFU,härdöpfel,,
EVJU,härdöpfel,,
EVQN,härdöpfel,,
EVVM,hördöpfel,,
EWCC,äärdli,hädöpfel,
EXRW,härdöpfel,,
EYLY,härdöpfel,,
EYWJ,häppere,,häppera
EYXR,härdöpfel,,
FAHE,härdöpfel,,
FALC,härdöpfel,,
FAPZ,hördöpfel,,häröpfel
FBTV,häärpfel,,
FBWY,härdöpfel,,
FCLR,härdöpfel,,
FEMF,härdöpfel,,
FFOD,härdöpfel,,
FFRL,häärpfel,,häärpfil
FGTI,ärdöpfel,,
FHSY,härdepfel,,
FIBD,härdepfel,,
FIKU,härdöpfel,,
FJCF,härdöpfel,,
FJHI,häppere,,häppera
FJJI,gumel(i),,
FJTV,härdöpfel,,
FLCV,härdöpfel,,
FLKN,härdöpfel,,
FMFX,härdöpfel,,
FMHR,härdöpfel,,
FMOO,höörpfel,,
FNGR,äärdli,,
FNUF,härdöpfel,,
FNVT,härdöpfel,,
FONZ,härdöpfel,,
FOPS,härdöpfel,,
FPFX,härdöpfel,,
FPKO,härdöpfel,,
FPZN,härdöpfel,,
FQAF,härdepfel,,
FQWL,härdöpfel,,
FQYS,härdöpfel,,
FRBT,härdöpfel,,
FRFQ,häärpfel,,
FRWW,härdöpfel,,
FSTE,hööröpfel,,
FSUY,härdöpfel,,
FSWB,härdöpfel,,
FTDY,härdöpfel,,
FTFT,härdöpfel,,
FVIK,härperu,,
FVIZ,häärpfel,,
FVTU,härdöpfel,,
FWAG,härdepfel,,
FWND,häärpfel,,
FXCQ,härdöpfel,,
FXKN,härdöpfel,,
FYQI,SDATS_patati,,
FZPW,hördöpfel,,
GAUD,gumel(i),,
GAZV,härdöpfel,,
GBTH,härdöpfel,,
GDJE,härdöpfel,,
GFKH,härdöpfel,,
GFPM,härdöpfel,,
GFYZ,härdepfel,,
GGLE,hödöpfel,,
GGSX,härdöpfel,,
GHGD,härdöpfel,,
GHLF,härdöpfel,,
