UID,V1,V2,COMMENTS
ABMX,chlemme,,
ABNI,chnüüble,,
ACBR,chlü(ü)be,,
ACTW,chlimse,,
ACXW,chlü(ü)be,,
AEPC,chlemme,,
AGAO,chlimse,,
AHQM,chnüüble,,
AHQN,chlemme,,
AHSH,zwänggu/-e_zwenggu/-e,,
AIEB,chlü(ü)be,,
AIKP,chlimse,,
AISI,chlemme,,
AJFE,SDATS_kneife,,
AKVO,pitzge,,
ALGD,zwiirg(g)e,,
AMHY,zwänggu/-e_zwenggu/-e,,
AMKV,chlömme,,
ANGR,chlemme,,
ANTS,chlimse,,
AOLG,chnüüble,,
AOQC,SDATS_zwicke/zwigge,,
APFB,chlemme,,
APID,chnüüble,,
AQZL,chlempe,,
ASHR,chlü(ü)be,,
AVMF,chlü(ü)pe,,
AWLY,chlömme,,
AWMO,chlü(ü)be,,
AWQT,chlü(ü)be,,
AYBA,chlü(ü)be,,
AZPO,SDATS_zwicke/zwigge,,
BAVI,chlemme,,
BBCP,chlemme,,
BCMG,chlü(ü)be,,
BCUE,chlimse,,
BCVF,chlü(ü)be,,
BDAX,SDATS_kneife,,
BDGM,chlimse,,
BDJF,chlimse,,
BDNI,SDATS_zwicke/zwigge,,zwicke
BDOI,chlü(ü)be,,
BDUF,pfätze,,
BEKM,chlemme,,
BEVG,chlömme,,
BFHL,chlemme,,
BFKG,chlempe,,
BGTK,chlempe,,
BHBK,chlü(ü)be,,
BHGY,chnüüble,,
BHXO,SDATS_zwicke/zwigge,,zwacke
BJAD,SDATS_chnippe/-a,,
BJUC,chlemme,,
BKKM,chlü(ü)be,,
BKNV,pitzge,,
BLBZ,chlü(ü)be,,
BLTF,chlü(ü)be,,
BLZL,chlemme,,
BNAJ,chlü(ü)be,,
BNBQ,chlemme,,
BNOH,zwänggu/-e_zwenggu/-e,,
BNOO,chlemme,,
BOQG,chlemme,,
BOUD,chlemme,,
BPSH,chlemme,,
BRVM,chlimse,,
BRVU,chlempe,,
BRXK,zwänggu/-e_zwenggu/-e,,
BRYH,chlü(ü)be,,
BSRI,chlemme,,
BTKD,chlü(ü)be,,
BUHM,chlü(ü)be,,
