UID,V1,V2,V3,COMMENTS
ABMX,glungge_glügge,,,
ABNI,glumpe,,,
ACBR,gunt-e,,,
ACTW,gunt-e,,,
ACXW,pfütz-e,,,
AEPC,glungge_glügge,,,
AGAO,gump-e,,,
AHQM,gunt-e,,,
AHQN,pfütz-e,,,
AHSH,gille,,,
AIEB,pfütz-e,,,
AIKP,gunt-e,,,
AISI,glungge_glügge,,,
AJFE,gunt-e,,,
AKVO,butz,,,
ALGD,gille,,,
AMHY,gülle,,,
AMKV,glungge_glügge,,,
ANGR,glungge_glügge,,,
ANTS,gump-e,,,
AOLG,gunt-e,,,
AOQC,glungge_glügge,,,
APFB,glungge_glügge,,,
APID,glungge_glügge,,,
AQZL,glunte,,,
ASHR,gu-u-dle,,,
AVMF,gump-e,,,
AWLY,glunte,,,
AWMO,gunt-e,,,
AWQT,glumpe,,,
AYBA,gu-u-dle,,,
AZPO,pfütz-e,,,
BAVI,pfütz-e,,,
BBCP,glungge_glügge,,,
BCMG,gunt-e,,,
BCUE,gump-e,,,
BCVF,pfütz-e,,,
BDAX,glunte,,,
BDGM,gunt-e,,,
BDJF,gump-e,,,
BDNI,pfütz-e,glungge_glügge,,
BDOI,bütz-e,,,
BDUF,lache,,,
BEKM,pfütz-e,,,
BEVG,glunggi,,,
BFHL,glungge_glügge,,,
BFKG,glunte,,,
BGTK,pfütz-e,,,
BHBK,pfütz-e,,,
BHGY,gunt-e,,,
BHXO,pfütz-e,,,
BJAD,gunt-e,,,
BJUC,glungge_glügge,,,
BKKM,pfütz-e,,,
BKNV,gump-e,gu-u-dle,,
BLBZ,gu-u-dle,,,
BLTF,pfütz-e,,,
BLZL,glungge_glügge,,,
BNAJ,gump-e,glungge_glügge,,
BNBQ,pfütz-e,,,
BNOH,gülle,,,spez. gulla
BNOO,glungge_glügge,,,
BOQG,pfütz-e,,,
BOUD,glungge_glügge,,,
BPSH,gumpi,,,
BRVM,gunt-e,,,
BRVU,glunte,,,
BRXK,glutte,,,
BRYH,bütz-e,,,
BSRI,pfütz-e,glunggi,,
BTKD,SDATS_bädere,,,
BUHM,pfütz-e,gunt-e,,
BVDH,gu-u-dle,,,
BVEO,pfütz-e,,,
BWVF,glungge_glügge,,,
BXDO,pfütz-e,,,
BYPQ,glunte,,,
BYRJ,gunt-e,,,
BYRX,pfütz-e,,,
BZEA,gunt-e,,,
BZEP,gunt-e,,,
CALT,pfütz-e,,,
CAVF,gunt-e,,,
CBFY,bütz-e,,,
CBHV,gu-u-dle,,,
CBVP,gunt-e,,,
CCBS,glungge_glügge,,,
CCGH,glunte,,,
CCJW,glunte,,,
CCOY,gunt-e,,,
CCWJ,glungge_glügge,,,
CDSL,glungge_glügge,,,
CEIX,gunt-e,,,
CFAB,pfütz-e,,,
CGCE,gunt-e,,,
CGIB,glutte,,,
CGQA,pfütz-e,,,
CICD,gille,,,
CIID,glungge_glügge,,,
CJRU,tümpel,,,
CLBF,gille,,,
CLEJ,gille,,,spez. gillu
CLER,glungge_glügge,,,
CLIB,gunt-e,,,
CLUZ,gump-e,,,
CMSY,glungge_glügge,,,
CNCW,glungge_glügge,,,
COOG,pfütz-e,,,
CQYU,pfütz-e,,,
CRSL,glunggi,,,
CRWO,pfütz-e,,,
CTDF,glungge_glügge,,,
CWHJ,glumpe,,,
CWJJ,gunt-e,,,
CXMM,pfütz-e,,,
CXQZ,pfütz-e,,,
CXSB,gille,,,
CYGU,glungge_glügge,,,
CYSF,bütz-e,,,
CYWL,pfütz-e,,,
CZER,glungge_glügge,,,
CZJB,gille,,,spez. gillu
CZKB,pfütz-e,,,
CZLH,pfütz-e,,,
CZMV,glungge_glügge,,,
DEML,pfütz-e,,,
DFOW,pfütz-e,,,
DGMU,glungge_glügge,,,
DGSC,glunte,,,
DHAB,gille,,,
DHAM,gu-u-dle,,,
DIYE,pfütz-e,,,
DIZP,gunt-e,,,
DJLC,pfütz-e,,,
DJVZ,glungge_glügge,,,
DKPP,gump-e,,,
