UID,V1,V2,COMMENTS
ABMX,rügge,,
ABNI,rügge,,
ACBR,rugge,,
ACTW,rigge,,
ACXW,rugge,,
AEPC,rügge,,
AGAO,rügge,,
AHQM,rugge,,
AHQN,rugge,,
AHSH,rigge,,
AIEB,rugge,,
AIKP,rügge,,
AISI,rügge,,
AJFE,rugge,,
AKVO,rigg,,
ALGD,rigg,,
AMHY,rigg,,
AMKV,rügge,,
ANGR,rügge,,
ANTS,rigge,,
AOLG,rügge,,
AOQC,rugge,,
APFB,rügge,,
APID,rügge,,
AQZL,rügge,,
ASHR,rugge,,
AVMF,rugge,,
AWLY,rügge,,
AWMO,rugge,,
AWQT,rugge,,
AYBA,rugge,,
AZPO,rugge,,
BAVI,rügge,,
BBCP,rügge,,
BCMG,rugge,,
BCUE,rigge,,
BCVF,rugge,,
BDAX,rügg,,
BDGM,rigge,,
BDJF,rigge,,
BDNI,rügge,,
BDOI,rugge,,
BDUF,rugge,,
BEKM,rügge,,
BEVG,rügge,,
BFHL,rügge,,
BFKG,rügge,,
BGTK,rügg,,
BHBK,rugge,,
BHGY,rugge,,
BHXO,rugge,,
BJAD,rigge,,
BJUC,rügge,,
BKKM,rugge,,
BKNV,rugge,,
BLBZ,rugge,,
BLTF,rugge,,
BLZL,rügge,,
BNAJ,rügge,,
BNBQ,rügge,,
BNOH,rigg,,
BNOO,rügge,,
BOQG,rügge,,
BOUD,rügge,,
BPSH,rügge,,
BRVM,rigge,,
BRVU,rügge,,
BRXK,rigge,,riggu
BRYH,rugge,,
BSRI,rügge,,
BTKD,rugge,,
BUHM,rugge,,
BVDH,rugge,,
BVEO,rügge,,
BWVF,rügge,,
BXDO,rugge,,
BYPQ,rügge,,
BYRJ,rigge,,
BYRX,rügg,,
BZEA,rugge,,
BZEP,rugge,,
CALT,rugge,,
CAVF,rigge,,
CBFY,rügge,,
CBHV,rugge,,
CBVP,rugge,,
CCBS,rugge,,
CCGH,rügge,,
CCJW,rügg,,
CCOY,rugge,,
CCWJ,rügge,,
CDSL,rügge,,
CEIX,rügge,,
CFAB,rügge,,
CGCE,rügge,,
CGIB,rigg,,
CGQA,rugge,,
CICD,rigg,,
CIID,rügge,,
CJRU,rugge,,
CLBF,rigg,,
CLEJ,rigg,,
CLER,rügge,,
CLIB,rugge,,
CLUZ,rügg,,
CMSY,rügge,,
CNCW,rügge,,
COOG,rugge,,
CQYU,rugge,,
CRSL,rügge,,
CRWO,rugge,,
CTDF,rügge,,
CWHJ,rügge,,
CWJJ,rugge,,
CXMM,rugge,,
CXQZ,rigge,,riggu
CXSB,rigg,,
CYGU,rügge,,
CYSF,rugge,,
CYWL,rügge,,
CZER,rügge,,
CZJB,rigg,,
CZKB,rugge,,
CZLH,rügge,,
CZMV,rügge,,
DEML,rügge,,
DFOW,rügge,,
DGMU,rügge,,
DGSC,rügg,,
DHAB,rigg,,
DHAM,rugge,,
DIYE,rugge,,
DIZP,rügge,,
DJLC,rügge,,
DJVZ,rügge,,
DKPP,rugge,,
DKTE,rügge,,
DMSW,rigg,,
DMYY,rugge,,
DNGG,rügge,,
DNMP,rugge,,
DNOS,rigg,,
DNTL,rügge,,
DNVV,rigge,,
DOED,rügge,,
DOYR,rigge,,
DQIU,rugge,,
DQYW,rügge,,
DRXU,rügg,,
DSIC,rugge,,
DSLN,rügge,,
DSMR,rügge,,
DTAZ,rugge,,
DTEM,rigge,,
DTWK,rugge,,
DTXP,rügge,,
DUGA,rügge,,
DYAK,rugge,,
DYND,rügge,,
DZTY,rugge,,
EAVK,rugge,,
EBCW,rigg,,
ECVN,rügge,,
EDLT,rugge,,
EDTB,rugge,,
EECM,rügge,,
EEIN,rigge,,
EFKS,rügge,,
EFPC,rügge,,
EGEH,rugge,,
EGZW,rügge,,
EJOM,rugge,,
EJPH,rügge,,
EJSR,rugge,,
ELAJ,rugge,,
ELJW,rugge,,
EMDA,rugge,,
EMZF,rügge,,
ENGZ,rugge,,
ENWC,rugge,,
EPKE,rugge,,
EPQP,rügge,,
ESSD,rigg,,
ESTD,rigge,,
ETKD,rügge,,
EUEH,rügge,,
EUGJ,rigg,,
EVCN,rügge,,
EVFU,rugge,,
EVJU,rügge,,
EVQN,rugge,,
EVVM,rugge,,
EWCC,rugge,,
EXRW,rugge,,
EYLY,rügge,,
EYWJ,rügge,,
EYXR,rugge,,
FAHE,rügge,,
FALC,rügge,,
FAPZ,rugge,,
FBTV,rigge,,
FBWY,rügge,,
FCLR,rugge,,
FEMF,rugge,,
FFOD,rügge,,
FFRL,rigg,,
FGTI,rügge,,
FHSY,rugge,,
FIBD,rigge,,
FIKU,rügge,,
FJCF,rügge,,
FJHI,rügge,,
FJJI,rügge,,
FJTV,rugge,,
FLCV,rugge,,
FLKN,rugge,,
FMFX,rügge,,
FMHR,rugge,,
FMOO,rugge,,
FNGR,rugge,,
FNUF,rügge,,
FNVT,rugge,,
FONZ,rügge,,
FOPS,rügge,,
FPFX,rugge,,
