UID,V1,V2,COMMENTS
ABMX,bääbi,,
ABNI,bääbi,titti,
ACBR,bääbeli,,beebeli
ACTW,puppe,,
ACXW,baabe,,
AEPC,bääbi,,
AGAO,titti,,
AHQM,bääbeli,,
AHQN,puppe,,
AHSH,puppe,,puppa
AIEB,puppe,,
AIKP,bääbi,,
AISI,bääbi,,
AJFE,puppe,,
AKVO,puppi,,
ALGD,tocha_tochu_toche,,tocha
AMHY,puppe,,puppa
AMKV,bääbi,,
ANGR,bääbi,,
ANTS,titti,,
AOLG,titti,,
AOQC,bääbi,,
APFB,bääbi,,
APID,puppe,,
AQZL,bääbi,,
ASHR,puppe,,
AVMF,bääbi,,beebi
AWLY,bääbi,,
AWMO,puppe,,
AWQT,bääbi,,
AYBA,poppe,,
AZPO,puppe,,
BAVI,puppe,,
BBCP,bääbi,,
BCMG,baabe,,
BCUE,titti,,
BCVF,puppe,,
BDAX,puppe,,
BDGM,titti,,
BDJF,titti,,
BDNI,puppe,,
BDOI,bääbi,,
BDUF,puppi,,
BEKM,bääbi,,
BEVG,bääbi,,
BFHL,bääbi,,
BFKG,puppi,,
BGTK,bääbe,,
BHBK,puppe,,
BHGY,puppe,,
BHXO,puppe,,
BJAD,titti,,
BJUC,puppe,,
BKKM,bääbeli,,
BKNV,puppe,,
BLBZ,puppe,,
BLTF,puppe,,
BLZL,bääbi,,
BNAJ,bääbi,,
BNBQ,puppe,,
BNOH,tocha_tochu_toche,,tocha
BNOO,bääbi,,
BOQG,bääbi,,
BOUD,bääbi,,
BPSH,bääbi,,
BRVM,titti,,
BRVU,puppeli,,
BRXK,tocha_tochu_toche,,
BRYH,bääbi,,
BSRI,puppe,,
BTKD,puppe,,
BUHM,puppe,,
BVDH,poppe,,
BVEO,puppi,,
BWVF,bääbi,,
BXDO,puppe,,
BYPQ,puppi,,
BYRJ,NA,,Audio ohne Inhalt
BYRX,puppe,,
BZEA,baabe,,
BZEP,bääbi,,
CALT,puppe,,
CAVF,titti,,
CBFY,bääbi,,stoffbääbi
CBHV,poppe,,
CBVP,puppe,,
CCBS,puppi,,
CCGH,bääbi,,
CCJW,puppi,,
CCOY,baabe,,
CCWJ,bääbi,,
CDSL,bääbi,,
CEIX,puppe,,
CFAB,bääbi,,
CGCE,titti,,
CGIB,tittibääbi,,
CGQA,puppe,,
CICD,bääbi,,
CIID,bääbi,,
CJRU,bääbeli,,
CLBF,bääbi,,
CLEJ,puppe,,
CLER,bääbi,,
CLIB,bääbi,,
CLUZ,puppe,,
CMSY,bääbi,,
CNCW,bääbi,,
COOG,puppe,,
CQYU,puppe,,
CRSL,bääbi,,
CRWO,puppe,,
CTDF,puppe,,
CWHJ,bääbi,,
CWJJ,bääbe,,
CXMM,puppe,,
CXQZ,puppe,,
CXSB,tocha_tochu_toche,,
CYGU,bääbi,,
CYKL,bääbi,,
CYSF,bääbi,,
CYWL,bääbi,,
CZER,bääbi,,
CZJB,puppe,,
CZKB,bääbi,,
CZLH,bääbi,,
CZMV,puppe,,
DEML,bääbi,,
DFOW,puppe,,
DGMU,bääbi,,
DGSC,SDATS_mousa,,
DHAB,puppe,,
DHAM,puppe,,
DIYE,puppe,,
DIZP,puppe,,
DJLC,puppi,,
DJVZ,bääbi,,
DKPP,puppe,,
DKTE,bääbi,,
DMSW,puppe,,puppu
DMYY,puppe,,
DNGG,bääbi,,
DNMP,puppe,,
DNOS,puppe,,puppu
DNTL,puppi,,
DNVV,titti,,
DOED,bääbi,,
DOYR,puppe,,
DQIU,bääbe,,
DQYW,titti,,
DRXU,tocha_tochu_toche,,
DSIC,titti,,
DSLN,bääbi,,
DSMR,bääbi,,
DTAZ,bääbi,,
DTEM,puppe,,
DTWK,bääbi,,beebi
DTXP,puppe,,
DUGA,puppe,,
DYAK,bääbi,,
DYND,puppe,,
DZTY,puppe,,
EAVK,puppe,,
EBCW,tocha_tochu_toche,,
ECVN,bääbi,,
EDLT,bääbi,,
EDTB,puppe,,
EECM,bääbi,,
EEIN,bääbi,,
EFKS,bääbi,,
EFPC,bääbi,,
EGEH,bääbi,,
EGZW,puppe,,
EJOM,puppe,,
EJPH,puppe,,
EJSR,bääbi,,
ELAJ,puppe,,
ELJW,puppe,,
EMDA,bääbi,,
EMZF,bääbi,,
ENGZ,bääbe,,
ENWC,puppe,,
EPKE,bääbe,,
EPQP,puppe,bääbi,
ESSD,bääbi,,
ESTD,bääbi,,
ETKD,puppe,,
EUEH,bääbi,,
EUGJ,puppe,,
EVCN,bääbi,,
EVFU,puppe,,
EVJU,bääbi,,
EVQN,titti,,
EVVM,puppe,,
EWCC,poppe,,
EXRW,poppe,,
EYLY,bääbi,,
EYWJ,puppe,,puppa
EYXR,bääbi,,
FAHE,bääbi,,
FALC,bääbi,,
FAPZ,puppe,,
FBTV,bääbi,,
FBWY,puppe,,
FCLR,titti,,
FEMF,puppi,,
FFOD,bääbi,,
FFRL,puppe,,puppu
FGTI,bääbi,,
FHSY,SDATS_püppli,,
FIBD,titti,,
FIKU,bääbi,,
FJCF,bääbi,,
FJHI,bääbi,,
FJJI,titti,,
FJTV,puppe,,
FLCV,puppeli,,
FLKN,bääbi,,
FMFX,bääbi,,
FMHR,bääbi,,
FMOO,puppe,,
FNGR,SDATS_püppli,,
FNUF,bääbi,,
FNVT,bääbi,,
FONZ,bääbi,,
FOPS,bääbi,,
FPFX,puppe,,
FPKO,bääbi,,
FPZN,puppe,,
FQAF,bääbe,,bääba
FQWL,puppe,,
FQYS,puppe,,
FRBT,bääbi,,
FRFQ,bääbi,,
FRWW,bääbi,,
FSTE,puppe,,
FSUY,puppeli,,püppeli
FSWB,bääbi,,
FTDY,bääbi,,
FTFT,puppe,,
FVIK,puppe,,puppa
FVIZ,määgga,,
FVTU,bääbi,,
FWAG,titti,,
FWND,puppe,,
FXCQ,bääbi,,
FXKN,bääbi,,
FYQI,puppe,,
FZPW,bääbi,,
GAUD,bääbi,,
GAZV,bääbi,,stoffbääbi
GBTH,bääbi,,
GDJE,bääbi,,auch stoffbääbi (V2?)
GFKH,bääbi,,
GFPM,puppe,,
GFYZ,puppe,,schträtschepuppe
GGLE,poppe,,
GGSX,puppe,,
GHGD,puppe,,
GHLF,bääbi,,
GHMK,bääbi,,
GHXY,titti,,
GIIR,bääbi,,
GIOH,bääbe,,
GIQG,bääbi,,
GIWV,puppe,,
GJCI,SDATS_peppi,,
GKBE,bääbi,,
GKBV,bääbi,,
GMMO,bääbi,,
GMWW,bääbi,,
GNBU,puppe,,
GNMQ,puppe,,puppa
GOAU,bääbi,,
GOLW,bääbe,,bääba
GOOB,bääbi,,
GOQI,bääbi,,
GOSY,poppe,,poppa
GOYC,titti,,
GPAK,bääbi,,
GPGA,puppe,,
GRAR,bääbi,,
GRPJ,baabe,,
GSLS,bääbi,,
GUTF,bääbi,,
GVNN,puppe,,
GVUS,bääbi,,
GWOX,bääbi,,
GXEB,puppe,,
GYBZ,puppe,,
GYUD,bääbi,,beebi
GZMD,puppe,,
HBBQ,puppi,,
HCIF,bääbi,,
HDLV,puppe,,
HDNF,puppe,,
HEHU,poppe,,
HEVH,puppe,,
HFCS,puppe,,
HFSV,puppe,,
HGBP,bääbi,,
HGYK,puppe,,
HHHE,tocha_tochu_toche,,
HIGZ,baabe,,
HKRF,puppe,,
HLFM,bääbi,,
HMXR,bääbi,,
HPNB,puppe,,
HPYW,titti,,
HQPB,togge,,toggji
HUBI,bääbi,,
HUDO,baabe,,
HUYI,bääbi,,
HVLO,puppe,,
HWDZ,bääbi,,
HWOL,bääbi,,
HWTX,titti,,
HWYK,puppe,,
HXHY,bääbi,,
HXVS,bääbi,,
HXZZ,bääbi,,
HZBG,bääbi,,
HZRN,bääbi,,
HZVF,bääbi,,
IATI,poppe,,
IBYY,poppe,,
IDFP,bääbe,,bääba
IEEA,puppe,,
IGCP,bääbi,,
IGVA,tocha_tochu_toche,,tuchu
IHIF,titti,,
IJMG,määgga,,
IJQQ,bääbi,,
IKHY,puppe,,
IKIA,poppe,,
IKNR,bääbi,,
IMMC,puppe,,
IMST,bääbi,,
INBX,puppe,,
IOCC,bääbi,,
IOSV,bääbi,,
IPCB,puppe,,puppu
IPHH,bääbi,,
IPJN,bääbi,,
IPMA,puppe,,
IPQX,bääbi,,
ISAE,bääbi,,
ISEJ,bääbi,,
ISGL,puppe,,
IVZI,puppe,,
IXKM,puppe,,
IXXR,tocha_tochu_toche,,tocha
IZNJ,poppe,,poppa
IZSQ,puppe,,puppa
JAGZ,bääbi,,
