UID,V1,V2,COMMENTS
ABMX,tüüf,,
ABNI,töif,,
ACBR,tüüf,,
ACTW,teEf,,
ACXW,tüüf,,
AEPC,töif,,
AGAO,tief,,
AHQM,tüüf,,
AHQN,tüüf,,
AHSH,dief,,
AIEB,tüüf,,
AIKP,tief,,
AISI,töif,,
AJFE,tüüf,,
AKVO,tief,,
ALGD,teif,,
AMHY,dief,,
AMKV,tüüf,,
ANGR,töif,,
ANTS,tief,,
AOLG,täüf,,
AOQC,dief,,
APFB,töif,,
APID,tüüf,,
AQZL,tööf,,
ASHR,tüüf,,
AVMF,tüüf,,
AWLY,töif,,
AWMO,tüüf,,
AWQT,tüüf,,
AYBA,tüüf,,
AZPO,dief,,
BAVI,tief,,
BBCP,töif,,
BCMG,tüüf,,
BCUE,täif,,
BCVF,tüüf,,
BDAX,töif,,
BDGM,tief,,
BDJF,taif,,
BDNI,töif,,
BDOI,tüüf,,
BDUF,dief,,
BEKM,tüüf,,
BEVG,dief,,
BFHL,töif,,
BFKG,tööf,,
BGTK,tööf,,
BHBK,tüüf,,
BHGY,tüüf,,
BHXO,tüüf,,
BJAD,tief,,
BJUC,tief,,
BKKM,tüüf,,
BKNV,tüüf,,
BLBZ,tüüf,,
BLTF,tüüf,,
BLZL,töif,,
BNAJ,tüüf,,
BNBQ,töif,,
BNOH,teif,,
BNOO,tief,,
BOQG,töif,,
BOUD,töif,,
BPSH,dief,,
BRVM,tief,,
BRVU,töif,,
BRXK,teif,,
BRYH,tüüf,,
BSRI,tüüf,,
BTKD,tüüf,,
BUHM,tüüf,,
BVDH,tüüf,,
BVEO,dief,,
BWVF,töif,,
BXDO,tüüf,,
BYPQ,tööf,,
BYRJ,täif,,
BYRX,tüüf,,
BZEA,tüüf,,
BZEP,tüüf,,
CALT,dief,,
CAVF,tief,,
CBFY,tööf,,
CBHV,tüüf,,
CBVP,tüüf,,
CCBS,dief,,
CCGH,tööf,,
CCJW,tööf,,
CCOY,tüüf,,
CCWJ,töif,,
CDSL,töif,,
CEIX,tüüf,,
CFAB,töif,,
CGCE,taüf,,
CGIB,tief,,
CGQA,tüüf,,
CICD,teif,,
CIID,tief,,
CJRU,tüüf,,
CLBF,teif,,
CLEJ,tief,,
CLER,töif,,
CLIB,tüüf,,
CLUZ,tüüf,,
CMSY,tööf,,
CNCW,töif,,
COOG,tüüf,,
CQYU,tüüf,,
CRSL,tief,,
CRWO,tüüf,,
CTDF,tüüf,,
CWHJ,töif,,
CWJJ,tüüf,,
CXMM,tüüf,,
CXQZ,täif,,
CXSB,täif,,
CYGU,töif,,
CYKL,töif,,
CYSF,tüüf,,
CYWL,tüüf,,
CZER,töif,,
CZJB,teif,,
CZKB,tüüf,,
