UID,V1,V2,COMMENTS
ABMX,Ii,,
ABNI,ei,,
ACBR,in,,
ACTW,in,,
ACXW,ee,,
AEPC,in,,
AGAO,ei,,
AHQM,in,,
AHQN,in,,
AHSH,in,,
AIEB,in,,
AIKP,ii,,
AISI,ii,,
AJFE,in,,
AKVO,ii,,
ALGD,ii,,
AMHY,in,,
AMKV,in,,
ANGR,in,,
ANTS,in,,
AOLG,ii,,
AOQC,in,,
APFB,in,,
APID,in,,
AQZL,in,,
ASHR,ii,,
AVMF,in,,
AWLY,ei,,
AWMO,in,,
AWQT,ei,,
AYBA,ii,,
AZPO,in,,
BAVI,in,,
BBCP,ei,,
BCMG,ee,,
BCUE,ii,,
BCVF,in,,
BDAX,ii,,
BDGM,in,,
BDJF,ii,,
BDNI,in,,
BDOI,Ii,,
BDUF,in,,
BEKM,ei,,
BEVG,in,,
BFHL,in,,
BFKG,ee,,
BGTK,in,,
BHBK,ii,,
BHGY,in,,
BHXO,in,,
BJAD,ii,,
BJUC,in,,
BKKM,ii,,
BKNV,in,,
BLBZ,in,,
BLTF,in,,
BLZL,ei,,
BNAJ,in,,
BNBQ,in,,
BNOH,ii,,ii@
BNOO,in,,
BOQG,in,,
BOUD,ei,,
BPSH,ei,,
BRVM,ii,,
BRVU,in,,
BRXK,Ii,,
BRYH,ei,,
BSRI,in,,
BTKD,ea,,
BUHM,in,,
BVDH,in,,
BVEO,in,,
BWVF,in,,
BXDO,in,,
BYPQ,ee,,
BYRJ,ii,,
BYRX,in,,
BZEA,in,,
BZEP,ii,,
CALT,in,,
CAVF,ii,,
CBFY,in,,
CBHV,ii,,
CBVP,in,,
CCBS,in,,
CCGH,in,,
CCJW,ee,,
CCOY,ee,,
CCWJ,in,,
CDSL,in,,
CEIX,in,,
CFAB,in,,
CGCE,ii,,
CGIB,ii,,
CGQA,in,,
CICD,ii,,
CIID,in,,
CJRU,ei,,
CLBF,ii,,
CLEJ,in,,
CLER,in,,
CLIB,ei,,
CLUZ,in,,
CMSY,in,,
CNCW,in,,
COOG,Ii,,
CQYU,in,,
CRSL,ei,,
CRWO,ei,,
CTDF,in,,
CWHJ,ei,,
CWJJ,in,,
CXMM,in,,
CXQZ,in,,
CXSB,in,,
CYGU,ii,,
CYSF,ii,,
CYWL,in,,
CZER,ei,,
CZJB,in,,
CZKB,ei,,
CZLH,in,,
CZMV,in,,
DEML,in,,
DFOW,in,,
DGMU,in,,
DGSC,in,,
DHAB,ii,,
DHAM,in,,
DIYE,in,,
DIZP,in,,
DJLC,in,,
DJVZ,in,,
DKPP,in,,
DKTE,in,,
DMSW,in,,
DMYY,in,,
DNGG,in,,
DNMP,in,,
DNOS,in,,
DNTL,in,,
DNVV,in,,
DOED,ei,,
DOYR,ii,,
DQIU,ii,,
DQYW,ii,,
DRXU,ii,,
DSIC,in,,
DSLN,in,,
DSMR,in,,
DTAZ,in,,
DTEM,in,,
DTWK,in,,
DTXP,in,,
DUGA,ee,,
DYAK,in,,
DYND,in,,
DZTY,in,,
EAVK,ee,,ee@
EBCW,in,,
ECVN,ii,,
EDLT,in,,
EDTB,in,,
EECM,in,,
EEIN,ii,,
EFKS,ii,,
EFPC,in,,
EGEH,ei,,
EGZW,in,,
EJOM,ii,,
EJPH,in,,
EJSR,in,,
ELAJ,in,,
ELJW,ii,,
EMDA,ei,,
EMZF,in,,
ENGZ,ei,,
ENWC,in,,
EPKE,in,,
EPQP,in,,
ESSD,ii,,
ESTD,ii,,
ETKD,in,,
EUEH,in,,
EUGJ,ii,,
EVCN,in,,
